Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
13:20:27.447,56,51,0,32817,7201,27235,23619,6133,10260,5273,1175
13:20:28.435,38,34,0,2023743,1806329,82627,47421,54886,48318,13924,12669
13:20:30.444,37,30,0,1590961,208988,83328,20512,25061,15809,23319,21120
13:20:31.436,51,30,0,1579668,162984,12901,94301,31844,40332,17986,19294
13:20:34.436,43,13,1,355380,37131,4581,10280,18881,5024,7045,4033
13:20:35.428,56,47,2,571635,112994,186035,109285,19022,19042,33522,33365
13:20:36.446,60,56,3,610350,98140,133416,12651,18135,14720,18977,7897
13:20:37.444,41,61,3,742432,201103,178871,28064,38140,21883,41303,22271
13:20:38.439,20,77,4,298675,141472,160678,38423,10749,11943,12265,14437
13:20:39.460,48,64,4,154738,98955,52007,55482,19781,69572,61220,13043
13:20:40.450,61,64,4,640565,15892,26012,7599,5770,9062,4555,5446
13:20:41.444,70,56,4,913147,62298,7132,18516,10192,9322,7172,7095
13:20:42.437,64,44,4,54708,87593,28556,7558,2203,2910,8780,4084
13:20:43.432,40,40,5,1523073,329504,46362,86068,58121,35963,18350,24241
13:20:44.423,21,23,5,315602,130920,22547,7054,9347,8019,19279,22355
13:20:45.443,14,37,5,390238,22316,18111,28783,6412,5227,5792,10719
13:20:46.444,43,38,5,412961,38804,9474,16770,8326,9908,8970,9489
13:20:47.439,63,29,5,161924,76075,2161,17689,41791,25454,69651,15057
13:20:48.430,91,40,5,25224,33433,10925,41075,19778,35477,22239,21874
13:20:49.451,90,26,5,489407,208510,69586,19511,20951,23832,19026,12456
