Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
13:08:00.383,30,38,0,89617,66588,13046,3768,4142,2424,373,421
13:08:01.402,44,41,0,27241,27330,14090,26242,60082,21309,6122,4012
13:08:02.393,43,43,1,1670177,167490,38138,20312,11250,12911,6079,4035
13:08:03.383,61,60,1,7488,1353,6748,5051,5720,6645,1283,1476
13:08:04.405,77,77,1,18539,16982,5913,19481,10091,6781,4599,2146
13:08:05.400,56,83,1,805042,82446,42927,13407,13434,3993,3954,4185
13:08:06.389,64,93,1,7434,26033,18631,9608,7198,8342,3227,3313
13:08:07.378,54,57,1,7259,51543,4751,1336,5071,9249,4476,5820
13:08:08.408,56,54,1,25923,13877,15672,6825,14194,6169,2692,2429
13:08:09.404,80,48,1,17638,9345,6848,6401,15361,9771,3100,1787
13:08:10.397,78,48,1,3156,8916,5892,4789,4579,2681,1440,1120
13:08:11.386,91,80,1,6511,5550,10246,5576,7753,12547,3643,1176
13:08:12.405,90,74,1,5773,16804,3639,9315,10579,4701,1287,942
13:08:13.396,75,75,1,99102,76586,9992,23524,9145,8914,864,1206
13:08:14.396,69,66,1,483171,124099,24042,31372,20880,12991,5838,2538
13:08:15.389,53,67,1,650620,13000,3865,11956,5587,3245,2820,2077
13:08:16.411,60,63,1,9097,11804,963,5674,5227,6524,2225,1244
13:08:18.398,74,83,1,1881,8497,20318,6177,7804,10001,2123,1799
13:08:19.395,81,75,1,1751,10762,8237,2047,8013,6275,1508,1254
13:08:20.386,75,63,1,34438,51932,5434,4711,6113,8721,1724,1523
