Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
20:01:20.862,44,50,0,119346,36646,16954,6030,4804,5222,2822,2368
20:01:21.855,51,70,0,448789,59460,11040,30086,3347,11768,10624,9320
20:01:24.873,50,48,0,519070,199367,5224,23401,28118,5493,3775,1787
20:01:25.870,57,38,0,6181,16336,1710,5360,7761,8585,3454,2370
20:01:26.870,67,51,0,36380,13704,13215,5635,5917,10109,3974,9109
20:01:27.862,66,48,0,76918,12005,12280,4960,11605,11188,3789,1485
20:01:28.857,78,61,0,3768,38582,10970,11758,10841,6786,4718,1960
20:01:29.852,64,67,1,1182391,641477,173698,74859,39964,53555,34181,11417
20:01:31.873,41,56,3,200562,41261,21120,7179,9664,6401,4658,992
20:01:32.873,35,50,3,637711,156278,37572,5904,16376,11381,5969,8858
20:01:33.874,35,48,3,1555436,144973,9515,41729,21483,11992,5101,7724
20:01:34.865,30,57,4,131470,53991,36155,3327,5150,2826,1891,968
20:01:35.856,44,48,4,61477,14191,3321,3672,10191,9366,5551,2543
20:01:36.847,50,64,4,2559,9639,13529,4422,4687,2924,3314,3422
20:01:37.874,57,64,4,6661,13380,7099,5373,18278,5806,1296,2122
20:01:38.864,80,63,4,7324,9368,3573,9564,3173,12131,1735,2443
20:01:39.857,66,66,4,1220006,253151,44102,45448,24800,28428,16134,11790
20:01:40.854,63,57,5,861866,322271,119527,28890,41687,28079,25447,14593
20:01:41.848,48,40,5,1314787,860547,31102,24045,38984,29822,10053,10753
20:01:43.861,34,48,5,273206,104425,29954,18354,11599,19294,9947,8031
20:01:44.855,27,40,5,673830,217747,42470,8041,12376,10025,6209,6037
20:01:45.873,43,54,5,3288,21952,1080,6472,6191,6785,1087,1376
20:01:46.863,61,41,5,8174,12279,4729,3399,6752,10126,6219,2431
20:01:47.856,64,40,5,4086,17099,4813,4545,10275,5188,1591,1841
