Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
13:16:42.038,30,38,0,27514,38319,22139,13128,10741,7867,4696,4532
13:16:44.047,1,17,1,2176729,1445769,151882,191255,920358,159160,62259,297887
13:16:45.039,23,10,1,226576,39937,18540,25556,102321,50092,42675,19386
13:16:46.030,29,1,1,1166062,519655,22031,61853,151729,120225,104109,150425
13:16:48.070,24,10,1,785894,269537,134513,132547,51024,43885,55166,102907
13:16:49.029,43,41,1,880109,473224,193243,318649,122242,200949,178442,307451
13:16:50.050,37,53,2,814473,95361,43455,59207,65944,88895,38469,10438
13:16:51.047,24,53,2,1215493,1098535,28628,104230,180866,115396,95021,80279
13:16:52.047,38,37,3,1015392,310033,62980,64131,71515,63753,48528,54610
13:16:53.040,43,29,4,1577257,101881,42722,19042,17363,38452,22879,54541
13:16:54.035,11,30,4,337070,41672,7023,16277,3286,5780,7058,2770
13:16:55.033,7,38,5,653306,943976,92323,84132,74818,72383,87910,74908
13:16:56.037,14,54,5,74626,245904,212725,50381,25503,99220,92782,15194
13:16:57.038,16,50,5,647225,60248,24785,5657,11260,25702,10806,6537
13:16:58.062,38,61,6,406456,73316,39782,94275,41354,47163,50000,40658
13:16:59.056,77,81,7,665569,103508,24145,114477,101693,118204,22946,27058
13:17:01.042,61,84,7,918079,785231,457117,115824,86398,173709,155642,101376
13:17:02.035,67,69,8,2280020,558654,182007,179420,134299,323829,111824,34665
13:17:03.053,51,57,8,746465,310186,35287,77920,75962,86763,97178,119911
13:17:05.034,30,44,8,1380393,1182846,930689,1082398,293048,163715,288569,142585
