Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
12:53:11.426,51,43,0,38386,9225,3784,4187,4061,12918,8500,2111
12:53:13.419,38,48,1,910857,95797,1008,13510,6400,3724,4933,1727
12:53:14.411,48,34,1,389912,30357,6267,3948,20254,18735,7427,13348
12:53:15.407,43,47,1,28672,5162,1754,19150,18027,10431,7510,8501
12:53:16.404,43,51,2,779081,39547,22109,37593,8368,14361,4140,3002
12:53:17.397,43,70,3,1841106,304813,109861,30725,40346,15764,6509,12692
12:53:18.392,40,100,3,119171,7635,17269,9718,6911,10994,8161,8712
12:53:19.415,27,100,3,381654,34641,29356,14595,24071,8396,5545,5545
12:53:20.409,34,100,3,39187,34693,34071,19530,12990,20752,8877,4024
12:53:21.399,44,96,3,26770,20381,11411,3410,17692,5064,2342,4239
12:53:22.395,38,80,3,5541,23410,8212,8984,7913,5813,9085,3603
12:53:23.393,44,78,3,3761,8131,13372,5456,20649,7640,4454,1519
12:53:24.418,40,63,3,73800,15399,3768,3705,2156,3221,1589,970
12:53:25.415,41,63,3,17650,43833,7147,18711,13809,10960,7105,3850
12:53:26.409,43,51,3,32396,34023,7771,12218,21515,10368,10152,3657
12:53:27.432,40,44,3,4516,15235,3920,6039,5439,4971,8817,2355
12:53:28.394,35,60,3,174309,136708,69068,55908,30383,17738,9525,3026
12:53:29.394,26,61,4,809599,210577,75300,26498,26506,16950,19366,14361
12:53:30.414,29,61,4,55696,22177,4882,5669,7481,11262,9197,2776
12:53:32.401,40,40,5,162749,4955,5029,2084,9286,2506,5371,1477
