Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
13:32:39.821,51,35,0,22500,26678,2893,5238,16403,8511,6889,4749
13:32:40.841,41,35,1,333714,562879,96176,47648,16972,24433,6531,8707
13:32:41.831,35,51,2,902303,61949,49914,22687,17629,7350,2618,3463
13:32:42.823,43,63,2,98980,19816,4893,13073,6858,6458,3304,893
13:32:43.844,26,78,2,108898,67440,4022,37422,4845,6902,5929,3541
13:32:44.835,43,87,3,219087,72728,21103,18231,12523,14580,3789,3228
13:32:45.824,48,50,3,839835,120318,1649,1665,4628,11322,6254,9595
13:32:46.843,38,51,4,1697451,897617,222015,272168,110378,82411,121798,113747
13:32:47.839,41,48,5,1338458,74231,11147,21261,21205,9888,4418,2981
13:32:48.829,50,51,5,9993,11561,7058,11242,29637,7453,6362,1802
13:32:49.820,64,88,5,4992,3790,5217,11816,5674,7122,5021,4887
13:32:50.840,84,87,5,3999,10831,3073,4863,5691,6706,2850,1254
13:32:51.832,91,84,5,35522,26216,2893,8974,7727,6003,5842,1087
13:32:52.830,83,87,5,28923,34137,16447,4353,4460,7138,2954,2352
13:32:53.821,67,77,5,552882,83026,23561,9694,14504,10528,4377,9199
13:32:54.842,50,81,5,54337,25423,18294,7774,8439,3702,2128,2126
13:32:56.850,61,87,5,1347,3397,3823,828,11807,2854,1297,2350
13:32:57.842,75,88,5,10609,26752,6924,12195,11299,12274,1691,1940
13:32:58.832,90,87,5,4709,7747,5046,4246,6486,4939,3514,2762
13:32:59.826,97,75,5,137037,21935,16445,3119,31673,13559,12977,8525
