Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
13:15:06.601,41,30,0,823197,574033,48952,63710,16623,31226,9186,12105
13:15:08.613,50,14,1,1088679,1463384,319725,169230,254850,58100,96830,50004
13:15:10.593,77,17,2,979642,53346,15799,18714,20965,18644,12614,12697
13:15:11.591,87,35,3,358377,35709,7273,33295,8261,16351,11407,11970
13:15:12.616,100,29,3,1047545,111508,10912,15661,22391,18544,44751,24196
13:15:13.611,97,29,3,634260,493623,66714,107550,47794,31986,29945,22144
13:15:15.601,96,29,3,1263564,289844,250287,153460,38486,115557,38673,26179
13:15:16.621,91,34,4,897341,107967,22953,14741,21087,13939,6038,15884
13:15:17.611,84,43,5,1443119,1060219,685311,188127,29864,51262,85769,50151
13:15:18.605,67,50,6,1530371,284611,135158,70296,109882,30510,28892,6858
13:15:19.602,61,43,6,2610675,605134,414636,34176,158511,111676,62950,58707
13:15:20.595,57,50,6,259303,29720,16309,2508,5312,3414,6936,6989
13:15:21.616,77,40,7,847299,391556,66474,67923,82897,63440,41217,36324
13:15:22.641,87,34,8,171140,121903,16319,23076,15188,24254,13289,16328
13:15:23.600,81,30,8,582820,103358,40468,16940,17417,9718,11813,9904
13:15:24.592,70,37,9,328821,20607,17864,3069,1279,1419,2165,3081
13:15:26.605,64,61,10,14760,10524,29090,14737,6346,3083,3187,835
13:15:27.597,75,61,10,64656,25894,7515,12095,7679,6913,2011,2124
13:15:28.618,93,53,10,8981,22264,10014,3229,7399,5868,2051,1788
13:15:29.610,84,43,10,263425,211814,28365,9937,46797,21165,16042,29821
