Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
12:57:41.810,30,30,0,205427,31083,2456,2764,2069,1767,1075,239
12:57:42.835,44,54,0,11901,5958,35090,11362,6660,10683,1649,1118
12:57:43.828,66,67,0,9088,2911,22536,8052,14957,13156,6952,1903
12:57:44.820,83,75,0,4889,21169,1166,17748,3303,8314,3974,1417
12:57:45.817,91,100,0,10298,9246,6903,20195,10673,3325,3579,1464
12:57:47.829,69,56,0,177269,151620,30815,19813,24080,11586,3639,2659
12:57:48.826,38,47,0,1188758,282734,7669,74963,13327,10015,2845,4596
12:57:49.852,51,21,0,405023,65997,8212,8667,17955,17883,4643,3962
12:57:50.819,54,30,0,2190,7756,13011,3477,17950,13679,5493,2738
12:57:51.813,69,27,0,9701,24518,3447,3860,3292,6869,3575,1574
12:57:52.841,100,38,0,2946,9987,12685,7416,3676,17529,3766,2143
12:58:00.812,96,78,0,9703,22592,23978,17750,18626,9465,6893,2177
12:58:01.810,93,77,0,4115,8592,12400,3917,10415,8323,2642,946
12:58:02.836,90,77,0,15591,21343,18870,10348,12687,9921,5284,3575
12:58:03.829,87,74,0,604461,12304,4153,7602,4323,11445,3465,1369
12:58:04.828,90,70,0,173438,51821,23052,34488,16732,18626,4435,2696
12:58:05.853,83,66,0,72839,62438,29594,10419,8187,21220,4874,3745
12:58:06.815,84,53,0,15823,12862,2857,3171,4450,4378,5626,2136
12:58:08.833,75,57,0,3774,28080,13220,13587,3612,5751,3546,983
12:58:11.823,67,66,0,4797,13483,626,7506,7186,5284,2540,3358
