Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
12:55:21.628,30,30,0,309465,350881,36056,10840,5999,8576,3399,2382
12:55:22.648,43,47,0,1790025,46099,40787,10921,10370,10418,3979,2009
12:55:23.640,48,54,1,1917439,293996,83580,79558,9839,30342,19246,10138
12:55:24.628,53,61,1,777656,333592,57786,78815,32597,32297,40009,27152
12:55:25.618,61,75,1,187145,88454,18952,16097,5081,5857,11629,7411
12:55:26.641,74,69,1,7632,7755,16692,4721,19771,20545,33336,14546
12:55:28.622,61,43,2,2352995,877502,64579,16219,54681,31993,41075,6571
12:55:31.627,41,53,3,149160,16368,19306,5866,1167,1667,4325,1500
12:55:32.621,43,91,3,631709,79264,92189,32603,13709,8087,27618,14036
12:55:33.620,30,97,3,1903968,483773,220681,49691,32987,51980,106834,33876
12:55:34.615,38,96,3,841980,9703,2431,865,2475,1481,4216,1973
12:55:35.643,43,69,3,172856,92881,4003,13755,1389,8116,7127,7117
12:55:36.644,50,35,3,941155,346996,22203,11145,9082,28884,71569,37368
12:55:37.641,60,48,3,182732,26335,57934,13488,5887,16877,15739,4266
12:55:38.641,67,41,3,166462,19200,1506,4475,9345,6720,8815,10309
12:55:39.635,77,57,3,103453,55975,41030,21200,19832,21593,55519,36364
12:55:40.633,91,80,3,94100,5491,6655,487,2311,5000,12015,5388
12:55:41.624,81,60,3,957090,370365,82662,57970,76989,32236,29358,26393
12:55:42.622,83,67,3,1218015,41203,18496,18271,47491,27997,30250,13907
12:55:43.640,91,60,3,9593,22369,11753,9522,17037,17695,37796,11645
