Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
13:04:57.685,44,38,0,14851,12149,3988,12686,5253,9610,4027,1536
13:04:58.675,26,20,0,161606,40790,2326,1427,1024,2491,619,1116
13:05:00.690,41,29,0,14878,7846,16554,3157,4933,9341,3770,1567
13:05:01.682,43,41,1,151687,13318,15888,6778,8148,12566,5955,2117
13:05:02.676,64,63,1,43667,15693,1540,14384,20301,8060,1312,3533
13:05:03.670,57,75,1,47159,13410,3465,3247,990,3130,837,308
13:05:04.689,40,57,1,95018,60483,13030,9527,8239,8644,4103,1592
13:05:06.675,41,74,1,3935,1991,11011,9699,7396,6286,2468,1038
13:05:08.671,20,80,1,1066716,224933,28528,12009,17420,9975,4782,2132
13:05:09.692,30,70,1,5892,7503,7863,4298,14677,16081,4587,1648
13:05:10.688,40,54,1,4505,4306,3220,3226,6789,4009,1991,1149
13:05:11.679,63,44,1,920,13548,10386,9967,5867,9641,2323,1904
13:05:12.669,88,38,1,36462,31354,886,3590,5456,8660,3262,940
13:05:13.690,67,48,1,5748,21262,13734,9682,11243,7320,2027,2425
13:05:14.680,61,64,1,11371,10278,15606,17206,7638,9529,2867,1599
13:05:15.673,60,57,1,6136,20974,12952,5066,14252,9693,4428,3108
13:05:16.692,48,91,1,3921,17809,9900,11043,3861,3727,3548,2467
13:05:17.683,57,94,1,7617,8141,11338,10934,8499,11394,2989,1741
13:05:18.676,63,81,1,7094,7673,5084,9240,12158,6885,2146,489
13:05:19.670,66,70,1,6221,22778,5467,5203,9921,13152,2593,1677
