Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
13:33:53.701,51,30,0,69033,23197,3995,5539,24941,8032,3257,1337
13:33:54.691,60,40,0,5495,6032,5649,13022,10879,4119,2018,1469
13:33:55.713,69,40,0,11216,20367,10960,3484,9057,7260,7869,2316
13:33:56.704,70,47,1,1018938,120960,34554,89282,32278,25903,4452,1787
13:33:57.707,64,61,2,1350185,42959,13420,31724,5022,12795,1613,1923
13:33:58.699,54,43,3,319784,28227,2613,3396,2028,2835,720,1433
13:34:00.709,41,26,3,429777,71008,7697,14217,22273,11899,7966,6715
13:34:01.704,27,16,3,635256,84276,16491,8898,7858,5663,4702,15964
13:34:02.696,29,27,3,76286,31012,3939,18745,7514,5298,2256,2106
13:34:03.688,17,23,4,222631,86287,8926,4889,2086,2964,830,377
13:34:04.713,1,20,4,378172,136057,5083,17911,2221,2118,1261,1296
13:34:05.704,7,17,5,35093,28025,4352,3447,3455,2880,2209,814
13:34:06.695,1,10,6,1830534,577932,110142,43529,31508,24715,9301,7197
13:34:07.714,11,24,6,1774101,40286,15853,19960,16609,4211,17521,8775
13:34:08.706,24,35,6,672245,19934,8758,3790,5189,1613,1639,2860
13:34:09.699,7,21,6,262783,391331,9290,7486,14468,6236,5373,4595
13:34:10.692,8,24,7,248254,74661,2795,21810,6058,4403,860,1371
13:34:11.714,1,8,7,636504,404984,16191,15771,25451,8559,12558,2989
13:34:12.703,3,23,7,733587,42774,115909,16532,11237,15151,6149,3140
13:34:13.694,7,38,7,1153266,676564,98753,52694,26434,15902,7027,5226
