Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
13:00:08.529,30,51,0,34239,39599,39591,9405,15885,4809,7863,4229
13:00:09.549,34,54,0,11060,25924,9452,6426,5013,7069,2014,1137
13:00:11.536,17,75,1,131189,59400,12964,23727,2018,2174,957,663
13:00:12.529,26,75,1,6531,17306,13283,12489,7531,6878,1188,1235
13:00:13.548,24,53,1,9440,21067,2254,2596,22728,3388,3535,1302
13:00:14.538,37,24,1,11009,12129,793,2607,7910,7346,3064,2261
13:00:15.559,64,13,1,7679,15474,1692,6732,6825,13002,3885,1979
13:00:16.551,77,16,1,6257,2149,6740,5615,3393,8095,1831,1438
13:00:17.544,88,38,1,928,15384,6498,6998,7027,13605,3475,816
13:00:18.538,81,63,1,1442,15236,14161,8626,13566,8301,3088,2578
13:00:19.528,74,57,1,4445,17404,1352,4540,5738,5784,1369,2339
13:00:20.550,67,41,1,2626,22740,12128,2410,13478,12200,2611,1099
13:00:21.544,63,50,1,1648,4979,4072,7591,6822,5603,2209,2079
13:00:23.558,57,77,1,1740,10870,9193,11216,8166,4751,3248,842
13:00:24.552,54,87,1,6364,34796,17966,13828,5790,12743,2824,1698
13:00:25.547,51,93,1,6684,11076,7797,17521,7439,7534,1638,1042
13:00:26.538,63,87,1,4947,6590,1616,10142,4174,14595,2765,1917
13:00:27.534,64,87,1,9215,11787,7475,16848,9302,6575,2574,3957
13:00:28.532,61,88,1,7026,6177,9657,16225,22864,3911,1262,2006
13:00:30.542,44,100,1,5810,7915,8310,10166,8014,3700,1044,1628
