Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
13:21:35.610,30,30,0,2816,34005,2050,6441,17442,6909,3273,2473
13:21:36.605,13,40,0,25865,60092,18906,21277,14434,9738,4797,1622
13:21:38.625,1,35,1,1210130,428707,67034,16366,165817,35793,35776,35553
13:21:39.616,1,50,2,637458,10914,2491,4350,3675,3062,1491,1355
13:21:43.626,3,100,2,1983157,42414,55165,6664,14793,15628,9107,4988
13:21:44.624,1,69,3,375414,74762,3155,6904,2460,3026,967,1016
13:21:47.626,30,35,3,97744,50996,6990,21322,13708,12750,3060,1450
13:21:48.616,67,57,3,8559,12639,11501,16336,14153,21856,2092,2497
13:21:49.607,84,80,3,4572,8726,16425,6652,4641,8472,3648,2624
13:21:50.633,51,64,3,1105635,217433,19228,6083,14368,8169,11365,10156
13:21:51.621,35,44,3,907951,357381,19890,13487,20966,19847,12246,16716
13:21:53.612,37,16,3,270780,26032,17240,12210,21679,17330,27466,7042
13:21:54.607,78,26,3,29973,10225,2199,5101,8582,19015,26067,9775
13:21:55.627,93,51,3,369251,39337,19930,7610,8192,12344,14749,5753
13:21:56.616,78,75,3,1196,11346,14259,13100,6712,7731,9912,7282
13:21:57.608,74,70,3,12880,21135,4258,10738,6565,9349,14901,10509
13:21:58.601,69,75,3,5489,14659,3573,5909,7117,19920,6281,11650
13:21:59.623,64,63,3,1014477,107856,11769,24908,47895,14732,42166,27483
13:22:01.604,78,61,3,8954,5591,8404,7513,4727,19594,13842,12437
13:22:02.623,51,50,3,266087,180808,14229,6839,6875,16361,11309,19424
