Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
20:05:18.849,64,35,0,36438,20692,4229,6376,12824,6931,4763,2494
20:05:19.870,63,48,0,30280,44005,14091,11613,3925,5268,4851,2137
20:05:20.864,77,53,0,19343,9424,4480,5904,7960,11731,6178,4670
20:05:21.895,69,56,0,4644,21529,2531,6752,11777,3637,4128,2312
20:05:23.858,77,64,0,17315,29516,12587,16839,5214,11922,2283,3730
20:05:24.858,69,57,0,32825,27285,5325,5004,16639,10258,2542,3508
20:05:25.857,70,63,0,309807,41508,13794,15083,17101,8202,3038,1122
20:05:26.856,61,69,0,60727,30512,14250,18876,4421,4081,3155,2534
20:05:27.849,70,63,0,7803,6107,3533,9155,19876,12670,5999,5294
20:05:28.870,63,69,0,220826,68779,5848,25171,17252,11049,7274,2661
20:05:29.860,57,77,0,21000,42859,6559,38369,5468,5604,10244,3568
20:05:30.851,66,69,0,2397,23588,7914,9535,3314,8019,2706,1418
20:05:31.852,53,61,0,91507,18755,1805,1800,4549,2666,1163,589
20:05:32.872,48,54,1,139840,109158,23455,1808,9387,8170,11079,3743
20:05:33.862,56,50,1,44744,47608,6831,23447,2584,12815,3650,1267
20:05:34.852,57,44,1,3050,18191,6770,1987,4080,6514,793,4666
20:05:35.848,50,67,1,2381,9629,5101,15689,3673,1495,1202,1110
20:05:36.850,61,74,1,5814,28611,5779,9630,8529,8916,1798,1083
20:05:37.872,60,74,1,477292,36422,8520,14763,12337,7981,3982,1981
20:05:38.867,57,78,1,12257,9983,5852,8205,10752,4797,1437,1324
20:05:39.863,64,57,1,39214,52190,7240,4540,3359,6375,2586,3648
20:05:40.855,64,56,1,46131,43130,9592,12370,5560,15765,10596,4024
20:05:41.848,74,56,1,68082,19483,6602,13473,14854,13564,4530,2918
20:05:43.848,81,74,2,1884,7420,9226,9381,4886,3369,4205,2172
20:05:44.846,78,67,2,1655,9244,617,2781,5498,2433,1856,2884
20:05:45.873,69,70,2,4970,10010,387,12409,10699,2642,1987,1551
