Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
13:10:54.443,53,30,0,1949,17128,3123,3769,10507,10629,4180,2039
13:10:55.439,43,40,0,32605,33841,15826,17766,6522,5653,1658,4124
13:10:56.439,41,50,0,42433,69759,48172,76466,36028,25297,9181,7607
13:10:57.434,24,41,1,254431,95857,12694,7041,9319,5756,3468,1781
13:10:58.426,13,51,1,18768,52288,29000,13431,20921,17681,5524,4630
13:10:59.447,21,47,2,83561,30471,28734,4260,26395,9310,8417,4533
13:11:00.436,40,35,2,36387,11099,16060,9124,42504,20201,16282,3208
13:11:01.455,54,47,3,158537,88664,19590,60559,54846,23886,13099,6923
13:11:02.446,63,43,3,26372,6153,20143,1849,42560,11141,8292,12910
13:11:04.433,30,63,3,907907,63008,80826,55118,30693,10969,5161,7777
13:11:06.442,51,61,3,11373,12628,8469,8344,14569,9166,6003,4697
13:11:07.431,54,66,3,6955,6016,6546,15692,8600,5848,5447,4152
13:11:08.425,75,56,3,12669,15798,3310,16211,8442,10539,6600,1384
13:11:09.451,61,56,3,6285,15257,12987,3797,28083,14742,8597,4997
13:11:11.434,64,41,3,20027,45506,12473,29818,20988,23842,18542,12136
13:11:12.429,63,44,3,11147,16372,14413,21134,22123,12616,8163,3774
13:11:14.444,40,50,3,14742,9427,16906,12685,18157,10659,5377,1949
13:11:15.442,48,51,3,38869,8363,18817,6227,18941,21503,16193,4665
13:11:16.435,60,44,3,70436,9330,4599,12869,23534,16762,15548,4769
13:11:17.455,64,51,3,111722,20153,7436,4353,4143,3368,6834,2124
