Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
13:12:43.338,51,47,0,6915,12522,4668,5042,6859,9176,1972,1820
13:12:44.334,54,64,0,6170,16926,11303,10975,21598,6249,1409,694
13:12:45.329,61,80,0,17766,24304,7836,9260,5440,9577,3580,1338
13:12:46.329,51,93,0,44163,32481,12870,5267,7070,2773,545,364
13:12:47.325,47,100,0,6972,12836,5572,12414,5036,8912,2227,3316
13:12:48.317,50,93,0,8218,22491,8501,5892,17795,10127,2981,2412
13:12:49.310,43,100,0,7379,19537,5791,15200,9055,4786,2363,2978
13:12:52.332,30,100,0,233657,43546,26489,8106,5763,2683,618,921
13:12:53.325,35,100,0,12015,6164,27430,8771,7950,7254,2381,1680
13:12:54.328,40,90,0,8641,19364,5759,5494,15919,9356,2096,2103
13:12:55.323,30,70,0,10711,25981,14530,6026,4377,3507,2908,930
13:12:56.318,54,61,0,4561,8891,6757,8271,11059,7126,1532,1342
13:12:57.312,56,53,0,6173,19757,28159,13643,10889,12694,1621,2987
13:12:58.337,50,70,0,11064,15819,4895,18259,6972,7574,1234,1090
13:12:59.335,57,70,0,4116,14695,14589,5000,10775,6101,4925,1307
13:13:01.324,56,57,0,142383,29262,14775,2679,8408,7615,2959,751
13:13:02.317,60,61,0,2640,3586,10030,5841,9411,5330,2434,2355
13:13:03.313,69,57,0,3932,19333,4697,16379,13956,14352,2015,3365
13:13:04.310,64,61,0,7773,6080,7117,3008,2076,3268,1068,2657
13:13:05.334,67,63,0,10917,25848,9532,5938,3751,8446,4695,1459
