Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
13:07:06.709,48,44,0,46093,18819,4480,4261,1902,8456,3032,2189
13:07:07.728,63,51,0,2243,17989,2678,11034,10487,18359,4619,1438
13:07:08.724,74,56,0,31388,30212,1307,15748,13796,15861,4739,2015
13:07:09.715,80,60,0,1884620,287562,63364,21564,42151,74867,10931,10115
13:07:10.707,69,66,0,33947,37854,28258,11870,11566,9082,4302,1789
13:07:12.717,63,70,0,110010,55349,16190,4402,22680,12451,7601,3579
13:07:13.711,57,83,0,13303,26040,7914,23821,6658,7089,6761,2505
13:07:14.705,50,74,1,1723926,178063,25156,14285,24690,9916,4533,2274
13:07:15.727,38,69,1,6439,36819,19829,7399,16942,9063,8649,2895
13:07:16.719,37,70,1,31291,69802,16366,9814,10759,11008,3354,5745
13:07:17.711,41,63,1,207992,55277,14953,11794,10745,17406,3489,3543
13:07:18.703,53,67,1,36552,15575,5551,4585,6853,4578,2963,2938
13:07:19.725,63,69,1,5083,11609,5730,12418,7978,13800,3678,3393
13:07:20.714,67,67,1,45434,82161,6255,22048,11762,22189,3586,7121
13:07:21.704,66,69,1,37975,16686,10840,1471,5389,5496,11696,2524
13:07:22.724,64,75,1,29423,24262,9377,11463,7404,6316,3165,2281
13:07:23.718,54,70,1,6363,19976,12901,3170,17395,5302,2071,1695
13:07:24.711,57,81,1,34097,6592,6067,5934,4574,5849,3281,1193
13:07:25.704,60,75,1,106466,63421,7934,14583,13845,18415,6103,2172
13:07:26.722,57,75,1,15162,14190,9101,4584,7753,3339,1411,5798
