Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
13:34:55.928,41,51,0,8667,31997,16064,12501,6209,5208,4377,4435
13:34:56.922,47,64,0,8188,15660,4490,10730,4858,3379,1688,1199
13:34:57.920,48,66,0,205144,155738,18978,20183,13618,15675,9971,4625
13:34:59.938,48,66,1,768580,35352,17182,22600,34587,19138,2957,1555
13:35:00.934,43,69,1,1256105,442562,69602,100914,129259,29222,17632,11348
13:35:01.936,34,40,1,853511,169802,1938,3722,18075,7629,3963,2729
13:35:02.932,27,35,2,816182,291934,85414,60037,64356,32219,10725,9944
13:35:04.920,27,47,3,538900,9949,1040,2291,1474,1060,741,259
13:35:05.921,37,47,4,151720,187479,43850,12697,21760,20058,12221,5457
13:35:06.912,44,64,4,1723014,457448,103776,24427,92614,47423,38821,6734
13:35:07.936,56,64,5,1069463,237961,86265,73615,114635,79770,8043,4409
13:35:08.936,60,53,6,1531368,507857,103039,41367,64083,71818,10044,7452
13:35:09.931,77,48,7,2364065,235178,56681,8435,90954,82413,34971,8045
13:35:10.955,83,47,8,884545,300117,38959,23217,29475,50730,12129,13086
13:35:11.918,75,43,9,65609,20529,1777,4204,2214,2633,805,483
13:35:12.916,81,44,9,720908,47699,16091,6654,17073,14318,6470,3609
13:35:13.940,57,47,10,627473,120902,19456,7244,7550,6731,1647,599
13:35:14.933,57,47,11,315883,9922,4186,2385,1309,830,230,86
13:35:15.927,69,54,12,757561,32976,13272,23244,34088,25048,3776,2227
13:35:16.922,74,60,13,1559023,130191,15354,44509,5918,25428,14734,5547
