Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
19:51:19.869,24,29,0,558877,388642,51129,27887,72234,22112,8621,3885
19:51:20.865,26,38,0,831120,253084,196517,39089,23069,19906,3538,7281
19:51:21.896,23,51,0,451791,44359,6279,6189,3041,1856,1875,1909
19:51:24.880,23,44,1,238814,38115,21632,4673,1774,1777,1171,1324
19:51:25.879,16,48,1,66724,46308,10067,5550,1747,1022,1671,984
19:51:26.874,10,60,1,625893,64626,9394,18005,20662,2682,816,1837
19:51:27.867,16,54,1,513159,117038,20738,12074,5343,6789,2049,1804
19:51:28.863,24,66,1,847418,49752,56696,94013,25067,20593,7352,9036
19:51:29.859,35,64,2,1041074,33252,6068,6847,3768,3069,1947,2198
19:51:30.853,47,78,5,1182464,4814,7774,7666,6353,3243,3907,2155
19:51:31.877,51,77,6,3785640,534004,112681,72645,154401,53352,30671,12018
19:51:33.866,43,54,6,100463,138298,6962,6620,13401,8776,3380,2873
19:51:34.859,44,40,6,555938,60043,11648,12640,9531,17395,5209,2700
19:51:35.879,44,48,6,547853,59016,19124,15658,7267,6987,5934,2568
19:51:36.874,41,41,6,811271,286954,145854,13493,12865,10058,16852,3317
19:51:37.863,41,57,6,414492,364281,94744,92687,68728,35472,23420,23878
19:51:38.857,30,63,7,1162236,266882,72392,71984,29886,19102,10420,14545
19:51:39.854,34,56,12,1526795,60923,11853,9828,15172,8750,2083,2067
19:51:40.853,34,50,15,601192,338417,41006,65614,36442,9554,3967,5255
19:51:41.881,30,48,16,1801753,269873,52991,47438,29179,15334,12742,3088
19:51:42.877,30,50,17,192410,8788,2058,3164,878,668,175,184
19:51:43.871,27,69,17,575842,9188,16006,11959,3965,3035,2791,1042
19:51:44.861,21,51,17,216949,169964,5036,1491,3283,1478,1745,1727
19:51:45.854,29,44,17,104586,16362,2211,1037,1406,2092,2050,447
19:51:46.879,37,40,17,3167,26590,5168,3156,5307,4650,4939,1466
