Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
19:53:38.877,53,43,0,200593,52187,24745,16843,5303,10034,6131,8527
19:53:39.870,44,41,0,863885,132485,35934,7473,6571,7668,21328,4349
19:53:40.860,51,53,0,164991,46229,5476,26475,9669,18422,8328,8942
19:53:41.881,57,69,0,27937,14399,13712,10866,15784,8271,6744,3295
19:53:42.874,56,66,0,144310,40273,3274,18044,5779,6272,8786,2140
19:53:43.874,61,56,0,250318,102758,9690,3199,3187,8196,8055,2381
19:53:44.875,57,37,0,163898,33083,663,1844,5669,4721,3050,1680
19:53:45.865,47,35,0,49648,67300,32761,18405,31998,5408,10689,8953
19:53:46.858,44,24,0,88765,128185,17745,5322,19179,13248,6159,3672
19:53:47.854,41,30,0,274093,311459,62472,27149,23367,20418,9016,12556
19:53:48.880,34,60,2,1234441,106305,66441,93289,28576,12918,15079,12596
19:53:49.868,37,54,3,2976711,621375,125707,77511,54724,50216,38021,15474
19:53:50.867,35,69,3,700367,44632,12245,23078,5662,4642,8647,7199
19:53:51.866,37,56,5,480700,168683,2287,10062,13238,12522,14860,6118
19:53:53.867,41,41,6,25875,22969,39729,3907,14797,6293,7637,5120
19:53:54.858,53,35,6,84270,5436,1611,1818,1962,2842,1306,1223
19:53:55.854,67,60,6,4588,5595,17270,2585,6960,12395,3157,2337
19:53:56.880,81,88,6,18142,2018,13439,2300,5766,7326,3288,2844
19:53:57.876,77,80,7,694526,249335,99837,19461,18596,15811,7269,9541
19:53:58.867,64,83,10,179931,13101,787,7170,2701,1372,1965,929
19:53:59.857,48,77,12,894298,191460,77909,32074,28013,15218,12408,10502
19:54:00.858,37,64,13,1185924,120299,11273,37065,25713,15767,16292,10061
19:54:01.852,40,44,15,572628,331751,13140,13630,89159,25291,20043,21877
19:54:02.879,47,35,15,1212824,418422,80702,15343,65855,78869,40064,13147
19:54:03.876,48,37,15,225359,36059,11838,14302,7814,3946,1977,1462
19:54:04.869,48,37,15,252815,50161,7991,11302,5163,5960,6089,4403
19:54:05.858,51,60,15,11303,20677,9266,9822,5481,4808,4841,2817
