Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
13:03:47.941,43,51,0,4833,13099,24937,2718,11104,8530,1210,1417
13:03:48.933,41,66,0,54088,24743,29209,6376,6644,7781,6594,1243
13:03:49.925,24,48,0,91498,66923,906,2212,8133,2594,819,1387
13:03:50.945,14,67,0,13557,14679,12559,32422,4918,3889,2904,1820
13:03:52.937,23,50,0,9997,9446,5663,5256,9448,5523,3510,2852
13:03:53.931,38,83,0,6193,6182,21106,12376,25495,4917,1288,1938
13:03:54.926,51,75,0,14702,5088,7340,6024,6276,4418,971,1422
13:03:55.945,50,87,0,6069,22550,5612,24111,7104,9401,2406,2363
13:03:57.940,48,78,0,188148,22872,1888,4461,2902,3258,350,558
13:03:58.933,56,67,0,27221,11564,2002,7819,7110,10463,3989,1723
13:03:59.923,63,60,0,516874,17400,919,9219,3697,8365,3346,2711
13:04:00.943,56,60,0,63142,33977,34468,28433,11828,13877,4661,2568
13:04:01.932,74,61,0,11034,10499,5463,5496,22584,9559,1925,3000
13:04:02.929,70,64,0,2104,16512,2272,16926,11577,14009,5536,1941
13:04:03.952,67,75,0,21433,8640,6143,13643,10133,7232,3931,2932
13:04:04.945,69,66,0,8977,17135,6091,12172,11108,5802,2006,1090
13:04:05.946,47,66,0,57203,16379,2106,3443,1846,1502,410,883
13:04:06.944,41,74,0,15847,12022,16910,4690,7589,8683,2086,732
13:04:07.938,30,53,0,95387,47769,1249,5651,5457,6801,1308,1426
13:04:08.931,27,44,0,68538,54231,5910,15469,17768,10058,6576,4399
