Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
12:54:13.144,41,75,0,145306,14406,11396,22012,13731,10475,4309,3307
12:54:14.168,54,93,0,11432,24927,23775,12752,5696,18556,4166,3957
12:54:15.160,60,100,0,45165,51554,19208,39829,9414,16042,7494,8153
12:54:16.159,83,100,0,13296,30260,14550,13140,13874,19017,10792,7834
12:54:17.152,96,77,0,17475,16782,8024,4756,11239,15963,5182,3331
12:54:18.145,91,66,0,4637,23937,7555,16903,18168,10925,1957,3429
12:54:20.162,61,26,1,460185,371416,45794,21482,9914,11069,5310,2495
12:54:21.153,51,53,1,11434,15669,31197,9895,15589,15020,8602,7479
12:54:22.148,64,63,1,25601,5616,1047,15461,7169,12471,3804,2496
12:54:23.139,78,57,1,7365,30281,13011,4336,22722,20028,3754,6875
12:54:24.139,100,91,1,66275,38518,16427,29740,3944,17680,8007,7879
12:54:25.164,84,91,1,247501,92444,98088,32892,18461,12403,8335,4301
12:54:26.159,64,63,1,352905,117282,10133,23061,23456,17385,15090,11727
12:54:27.177,37,69,1,498943,166839,48259,23755,40026,11962,10138,10339
12:54:29.160,37,50,2,314256,53641,18344,3252,3313,3379,1836,643
12:54:30.148,17,41,3,545926,542012,37108,41349,21475,17030,19385,12736
12:54:31.145,21,44,3,1443458,204887,59540,34188,31382,20441,28373,16073
12:54:32.140,4,30,4,568246,180593,84483,18634,20349,23305,33910,31552
12:54:33.170,27,27,4,2681,28088,10827,8198,27728,11413,18230,7408
12:54:34.162,63,63,4,5080,15653,25600,9148,12902,20788,12147,10638
