Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
13:08:52.735,53,51,0,9386,7908,7527,10138,10341,6956,1292,1352
13:08:53.735,66,60,0,4055,15916,15779,1907,4782,9704,2046,1502
13:08:54.729,51,41,0,96048,63899,11499,1348,2713,2342,820,519
13:08:56.746,40,23,1,171276,5063,2902,1772,824,1834,508,420
13:08:57.747,29,10,1,188711,87190,17333,27364,36114,18454,19178,15264
13:08:58.742,53,51,1,47080,21080,22695,20075,5154,12209,9727,7022
13:08:59.732,61,60,1,126619,144495,19382,25835,16188,16623,10005,2071
13:09:00.752,67,35,1,24622,36542,6177,11150,29263,18250,6379,5106
13:09:01.748,77,34,2,57267,11589,2138,3061,3423,4271,966,1272
13:09:02.736,78,3,2,37861,39870,10058,12008,15931,14275,6246,4669
13:09:03.733,75,29,2,24835,62069,30516,32384,11009,8329,9143,2995
13:09:04.753,66,26,2,142413,13227,831,1648,4619,2914,2149,1168
13:09:05.746,57,54,2,38579,13565,18293,6234,6528,5363,5068,1804
13:09:06.766,67,64,2,35632,28630,12658,10638,2610,22855,3793,9026
13:09:07.732,83,56,2,23768,38868,6615,28784,7617,15924,7404,8251
13:09:08.757,93,83,2,504445,12364,6197,11365,11509,12006,7465,4891
13:09:09.751,74,44,3,259945,64886,897,4656,1639,2135,1967,514
13:09:10.748,63,53,3,17803,22713,18526,24181,41559,13501,4192,5266
13:09:11.746,70,47,3,13268,23287,7178,13692,33297,15518,11977,14807
13:09:12.733,57,51,3,30766,39847,24640,14253,20192,11352,5163,1991
