Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
13:05:55.813,53,30,0,1128326,368700,65066,51931,27869,35069,7749,5376
13:05:56.831,51,24,1,142047,23348,3229,4778,4416,838,346,454
13:05:57.831,75,13,2,191605,33224,5025,3569,2722,7448,1407,699
13:05:58.856,87,17,3,100792,36617,31241,3225,8626,4679,1375,634
13:05:59.822,80,8,4,37520,28761,1342,3204,9893,2045,1670,419
13:06:00.818,97,20,4,6026,24712,17649,4447,6211,5076,4036,3184
13:06:02.833,100,54,4,33141,9197,20460,12419,6487,8981,4099,2857
13:06:03.822,91,66,4,242285,174540,40844,10818,9394,3161,976,588
13:06:04.819,81,50,5,1431488,174148,23444,15335,37392,11493,3582,1356
13:06:05.816,78,43,5,11586,22378,10732,14310,8312,7672,993,3246
13:06:07.838,100,48,5,21990,8486,8573,6126,3188,5950,2851,2188
13:06:19.821,96,34,5,788822,64538,13066,5680,10022,7908,7445,2060
13:06:21.818,74,26,5,229168,31330,4290,3308,4152,1778,861,891
13:06:22.821,60,13,5,89536,87125,15007,2634,13895,4914,3188,6614
13:06:23.819,75,23,5,4947,8108,4804,6868,4496,13671,2586,1673
13:06:25.824,83,23,5,143956,32428,11196,4038,8191,7058,3843,6341
13:06:26.817,91,43,5,3388,14495,12172,6106,4868,4923,1911,1599
13:06:27.815,77,51,5,9222,16968,13765,5271,5078,4420,1364,1102
13:06:29.838,64,88,5,17438,19067,24600,11595,4662,4609,4249,857
13:06:30.835,69,80,5,6219,18577,6461,11650,16917,8142,2487,3190
