Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
13:01:10.356,53,51,0,11290,5981,11119,14810,9149,5765,3143,1989
13:01:11.347,77,34,0,1425,4883,2039,2290,7643,4891,1350,1412
13:01:12.366,91,51,0,122561,10555,30014,30233,11833,17503,1911,2257
13:01:13.359,90,34,1,162189,160940,9652,4537,8940,7406,2335,1788
13:01:14.354,93,27,1,30583,10145,4302,12541,15120,7446,2068,3115
13:01:15.347,84,56,1,2650,12092,15289,6139,8561,8447,5587,3655
13:01:16.372,81,21,1,508728,45710,1950,4256,16386,7689,2960,958
13:01:17.366,97,57,1,5493,8383,21514,10589,7541,9890,3612,3480
13:01:18.354,88,53,1,25332,25872,7712,11036,15435,4162,1326,1189
13:01:19.351,80,64,1,7293,17171,50517,4107,11357,7547,3407,1761
13:01:20.371,87,94,1,24351,10979,20388,17778,15736,15109,3420,4072
13:01:21.366,70,69,1,143622,114297,4144,21478,15677,7520,4934,2701
13:01:22.356,87,66,1,2699,25751,10006,10500,13760,20559,2010,2224
13:01:23.347,83,69,1,14408,12915,10109,33704,6806,3899,4717,900
13:01:24.367,87,54,1,4040,21515,6395,8148,12516,15384,2760,2979
13:01:25.358,100,77,1,13027,14868,14061,15823,7443,8859,2384,2918
13:01:26.378,75,57,1,45448,33616,2165,1258,4381,1620,739,591
13:01:27.375,94,47,1,28006,9821,9220,18383,7033,17661,2881,4630
13:01:28.366,70,34,2,3479,10971,474,976,701,636,373,420
13:01:29.354,56,21,3,305100,127167,22606,33619,14847,11003,4811,3278
