Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
47:40.7,34,37,0,5920,31247,7918,7398,4932,5868,2731,1332
47:41.7,23,29,0,1668388,187233,11262,62503,63215,19671,22975,55667
47:42.7,21,35,0,347676,119007,48028,37126,8922,40351,31311,17102
47:43.7,34,38,0,3461,7330,9225,11741,9714,23978,23970,15065
47:44.7,41,53,0,4929,6795,13970,12309,11333,11861,26229,11191
47:45.7,60,63,0,7938,5252,11704,5685,17372,12134,10661,7954
47:46.7,63,60,0,3675,22855,11746,16999,27648,15314,16818,8472
47:47.7,44,77,1,557854,73353,176272,8327,35392,29149,70062,54712
47:48.7,43,61,1,45578,48541,11385,21191,21751,21611,32409,22220
47:49.7,51,56,1,4209,9219,11241,9000,15864,30732,44730,12231
47:50.7,56,53,1,22147,18172,13285,7918,18364,20876,17786,15570
47:51.7,66,17,1,8882,34371,2865,8659,18040,15966,10997,3999
47:52.7,75,8,1,15183,14228,1265,7015,16659,13484,7543,8734
47:53.7,74,1,1,5617,8254,5567,2659,41419,17202,9271,10337
47:54.7,70,1,1,15468,8927,5625,7239,7232,8555,16381,8985
47:55.7,54,17,2,1146730,379528,130598,95260,47468,39547,26283,36052
47:56.7,53,43,2,6041,4121,10159,19010,17864,17221,31637,16604
47:57.7,57,56,2,31524,9711,1421,15190,7646,48067,23869,15258
47:58.7,44,61,2,131321,53566,46821,3233,8623,9338,35059,12211
47:59.7,51,54,2,117488,181727,45813,31965,34682,32747,42513,12558
