Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
13:09:46.478,53,54,0,4249,5640,5751,8827,9753,7797,2687,1273
13:09:47.470,54,70,0,18336,12747,4923,10026,4857,3887,1080,983
13:09:48.460,37,53,0,239917,20994,911,1726,2872,492,521,501
13:09:49.482,48,56,0,17126,10497,8249,5014,16664,8147,3337,4249
13:09:50.471,27,64,0,1318,10913,5635,13410,4968,2010,884,1822
13:09:51.466,29,61,0,13185,13679,5577,13699,9028,6339,3415,1155
13:09:53.482,53,96,0,10201,20470,6085,4810,5643,10213,1880,2949
13:09:55.462,47,77,0,86760,5509,3279,10661,2763,1886,1566,689
13:09:56.484,41,67,0,20329,22392,15074,21874,21720,7193,4903,2989
13:09:57.482,16,56,1,185350,236744,19638,17975,13091,8324,1934,1940
13:09:58.475,34,57,1,180789,11126,5338,2013,10585,5645,2183,1916
13:09:59.469,43,27,1,2655,11176,2957,2779,11109,4607,7126,2681
13:10:00.460,51,20,1,3187,6388,5586,2100,6225,3730,2101,2614
13:10:01.482,75,47,1,2406,13533,2777,16158,6136,8642,2838,913
13:10:02.503,69,64,1,2064,3596,4247,5592,6269,2774,1548,916
13:10:03.464,66,84,1,9469,20387,17627,6679,6284,7364,3071,2082
13:10:04.484,61,93,1,10764,3868,20504,1366,17219,4182,1534,832
13:10:05.472,66,97,1,2276,2553,2441,10305,4437,6944,1150,1549
13:10:06.462,78,90,1,6507,5274,5429,5467,6782,8881,2551,1463
13:10:07.459,84,91,1,6848,11644,9312,12201,6261,11411,1679,1397
