Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
13:13:45.361,38,44,0,471393,143308,49844,28255,14918,21864,3552,4179
13:13:46.358,51,53,0,95715,22224,5343,26055,14024,10311,4277,8116
13:13:47.352,35,56,1,220427,44618,8575,8171,5436,2705,1596,937
13:13:48.348,29,56,2,488614,163774,55770,5720,23629,16872,5005,4778
13:13:49.367,35,61,2,66564,32645,14012,20472,6372,8631,2997,1334
13:13:50.359,3,57,2,431777,188772,72986,27108,27531,6701,8827,5818
13:13:51.351,24,61,2,145033,57496,26028,16073,21523,9982,10617,2568
13:13:52.346,24,61,3,78216,158293,3886,58646,30590,12721,7015,7113
13:13:53.342,29,64,3,33383,15019,8283,17267,4352,5500,2696,2939
13:13:55.370,90,64,3,2555,5778,3473,6288,9008,11216,2583,1969
13:13:56.361,100,74,3,4802,19969,15407,20012,18580,9976,2760,2295
13:13:58.354,90,57,3,112425,7517,948,9553,6479,2695,884,543
13:13:59.345,66,69,3,7526,16241,16481,11532,2786,4684,2698,2077
13:14:00.370,60,64,3,159004,59327,19834,15483,8470,9305,2955,1655
13:14:01.366,54,77,3,15095,7738,2216,13928,6101,5132,1935,2697
13:14:02.355,63,69,3,12875,6765,5596,6410,30587,5813,2911,1217
13:14:03.355,83,61,3,2277,5749,5331,5715,4151,8373,3929,956
13:14:04.384,90,64,3,3153,18600,16997,6385,12990,7371,4272,1205
13:14:06.348,81,74,3,50027,34622,15178,18512,16972,10437,2930,1461
13:14:07.343,64,80,3,10915,11727,24626,2947,5471,5426,2226,1114
