Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
12:59:18.488,51,51,0,3163,16900,7845,16849,9796,8651,2335,1990
12:59:19.509,60,70,0,12182,16271,21284,8558,4225,6705,3462,814
12:59:20.528,66,69,0,5938,34244,5454,8379,7704,5730,2352,895
12:59:22.488,41,67,0,680625,73144,9808,11318,4474,3247,1892,404
12:59:23.512,51,56,0,1655,12887,2336,14663,7820,9319,1544,818
12:59:24.507,57,53,0,3796,21697,7369,3720,17559,7532,2336,2673
12:59:25.501,77,37,0,5998,10489,3527,5292,13210,6624,2133,1526
12:59:26.499,96,51,0,17521,8153,10091,20394,32473,5256,3266,2106
12:59:27.489,88,41,0,397473,41584,15099,5957,12054,11385,2511,1785
12:59:28.515,97,47,0,5249,11671,4411,2774,3806,8194,929,2427
12:59:29.509,90,56,0,81224,12973,1648,10364,3553,4073,394,262
12:59:30.508,74,64,1,59197,15591,20084,1408,3508,1657,802,645
12:59:31.505,77,77,1,30201,12481,3535,16585,9399,7481,2452,1355
12:59:32.500,75,87,1,7542,6859,5348,5546,5425,7571,1572,1750
12:59:33.531,84,88,1,10676,19175,14809,13404,6901,15538,3848,703
12:59:34.500,100,77,1,2798,8917,5075,3218,4721,3255,3160,1615
12:59:37.506,96,57,1,4962,24886,4671,3086,9818,9051,2220,787
12:59:38.497,100,60,1,4849,5577,4432,6343,6992,7260,2177,1092
12:59:39.490,81,29,1,310963,28696,2260,1617,2907,1079,612,401
12:59:40.485,74,35,1,31015,34021,16676,20998,9904,8363,4505,3135
