Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
13:31:16.364,43,54,0,93236,47973,23267,21833,12315,8101,7564,3070
13:31:17.382,61,60,0,42510,27164,5474,11912,1871,8314,3317,2019
13:31:18.373,84,64,0,26677,8474,2985,6503,6713,5914,5945,2849
13:31:19.364,94,70,0,7807,11414,9159,4403,13255,3481,1543,2221
13:31:20.388,81,51,1,659326,105788,22925,16828,8783,6168,7253,3026
13:31:25.371,75,27,1,42267,49341,7583,6311,10398,10596,4106,2170
13:31:26.391,70,47,1,19918,9772,8671,9037,2905,6966,2729,2349
13:31:27.382,56,38,1,357365,136066,44850,19886,29764,11129,6456,2376
13:31:31.388,57,47,1,161396,15895,6306,1419,1894,1239,476,1329
13:31:32.379,64,56,1,4249,8024,3004,1548,4617,2987,1441,513
13:31:33.369,56,41,1,5097,3523,182,3470,2235,1186,357,309
13:31:34.390,70,41,1,707432,63606,22079,14640,13815,12754,5632,3485
13:31:38.382,91,23,1,5204,7473,1067,1004,1571,1804,348,384
13:31:40.371,74,30,1,20657,9514,4920,6525,7616,3242,1951,1813
13:31:41.362,54,13,1,604442,33220,1913,5027,5851,1607,462,813
13:31:44.375,47,53,1,140625,1931,7649,1730,627,1382,812,699
13:31:45.364,50,64,1,48909,55772,61640,4670,5171,11181,4852,3715
13:31:46.362,44,41,1,135766,88977,9896,20025,7707,13692,3995,3286
13:31:47.385,66,41,1,39484,24430,3761,3768,13443,4623,4128,1030
13:31:48.381,75,4,1,100152,32978,7362,5759,15683,8497,2350,3334
