Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
14:37:44.352,53,41,0,2823,17715,11348,11990,6073,14709,4929,2438
14:37:45.351,60,47,0,2167,10851,15949,7669,13236,6997,13215,2540
14:37:46.350,57,38,0,45223,11169,2747,1679,2294,1584,1904,585
14:37:47.351,40,20,0,312682,198051,9576,8113,2377,5527,25216,8914
14:37:48.349,26,23,0,1356677,144895,64846,75926,53200,33627,34986,55934
14:37:49.350,7,13,0,570923,579511,52842,109717,70836,27337,50664,32007
14:37:50.353,4,13,0,780365,140096,16527,13613,16926,14311,24352,14939
14:37:51.346,30,44,0,450228,20354,14659,26877,10186,13542,8555,22699
14:37:52.345,27,24,0,110758,235236,8057,25739,23603,28861,14338,9000
14:37:53.348,30,26,0,100161,163737,17188,27905,3221,8284,5041,4100
14:37:54.352,50,40,0,22819,11553,4710,11738,13369,10777,9922,2293
14:37:55.350,48,21,0,3607,57604,7434,10645,8061,14606,9682,2220
14:37:56.347,41,24,0,376100,77965,8978,6027,4850,5169,8042,3444
14:37:57.348,35,20,0,1158249,694627,80281,42873,36081,21823,59739,22412
14:37:58.349,27,23,0,702536,37544,8446,36870,15712,17639,10732,5346
14:37:59.349,35,21,0,2120540,28566,5563,3751,9599,14217,15241,6315
14:38:00.384,44,34,0,46340,12148,3898,2846,1296,2613,2070,932
14:38:01.348,64,48,0,440425,13987,10232,7972,12949,4589,7592,4368
14:38:02.345,60,23,0,104171,70401,5425,3476,8260,9656,9984,1496
14:38:03.345,26,26,0,904648,243850,36134,36752,36725,7671,3538,2840
