Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
19:58:26.861,34,41,0,89982,15250,1999,1958,717,1458,1067,1467
19:58:27.856,21,37,0,722889,309155,32460,21066,17393,7930,9877,2930
19:58:28.855,27,48,0,99636,5610,3664,893,3233,1419,520,600
19:58:30.871,44,54,0,689566,160949,66860,22166,17679,11915,10489,2013
19:58:31.870,48,57,0,114051,48837,6828,4663,2124,1938,946,802
19:58:33.865,53,69,0,16467,6264,3655,11357,6836,9041,7168,1572
19:58:34.866,64,64,0,2317057,539338,135643,116396,145847,186036,124062,51153
19:58:35.858,66,75,2,352452,150958,14944,88504,8532,9437,11391,10611
19:58:36.878,61,63,4,454161,371139,23641,64341,29576,47834,12400,20298
19:58:37.871,40,48,5,3043670,687999,52015,56883,23073,18420,21675,13875
19:58:38.870,29,50,5,475011,377496,80332,78898,21403,30734,16176,6621
19:58:39.863,34,53,7,587270,30892,33208,9772,10412,4911,5491,3455
19:58:40.854,38,63,7,11903,3065,8566,5034,19875,3689,4507,3136
19:58:41.875,50,57,7,389901,67903,3072,4281,18352,7369,2526,819
19:58:43.865,61,47,7,773,12918,20710,6992,7934,6369,3128,1619
19:58:44.858,51,38,7,916013,822171,167202,45694,52889,61438,59800,90172
19:58:45.851,51,50,9,1267757,99989,14046,23257,42257,13065,25474,10507
19:58:46.851,53,64,10,841128,20269,15391,5402,11786,5749,5585,3050
19:58:47.848,44,61,10,474915,191740,62123,95500,24692,15408,20846,18517
19:58:48.869,43,84,11,690973,74239,136312,149388,40339,17619,18073,11800
19:58:49.865,30,87,12,1394521,590325,193143,14863,59665,13867,16616,12774
19:58:50.855,20,77,12,119053,70685,9256,5569,540,3032,868,2822
19:58:51.876,24,60,12,108705,24007,201,4132,3786,2742,2214,1354
19:58:53.863,64,47,12,9385,5146,13739,1914,6251,5291,1543,1822
