Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
20:14:07.858,74,60,0,9456,36065,10153,4603,7360,9648,8846,5694
20:14:08.856,78,66,0,7681,7822,12483,1137,7736,7312,5341,2719
20:14:09.881,67,70,0,31682,21976,36218,11975,24970,5949,3973,2903
20:14:10.842,56,50,0,312500,44777,1678,1779,1986,2350,1102,238
20:14:11.844,54,56,0,8073,29297,9572,23602,18835,10560,5472,1640
20:14:13.865,56,51,0,7650,5681,10744,4691,11765,4632,2137,1684
20:14:14.858,67,64,0,4710,16709,4648,3796,5538,4914,2295,2257
20:14:15.858,66,69,0,8133,9927,3766,17137,6509,4427,2524,2781
20:14:16.851,81,66,0,42654,7779,1159,7037,11197,16041,2587,1498
20:14:17.840,90,56,0,7743,4233,2803,1053,5035,5097,4530,2540
20:14:18.864,97,57,0,4524,7737,4163,6632,8035,9439,1527,1271
20:14:19.854,100,41,0,4782,14919,1051,4451,8555,6231,4787,2393
20:14:20.845,94,54,0,8661,3937,24154,3559,14469,8297,3813,1591
20:14:21.839,87,53,0,3041,15609,4221,752,2838,5271,2617,1318
20:14:22.865,78,61,0,3313,4514,5673,8965,6684,3432,2287,1618
20:14:23.859,67,63,0,4917,15133,739,5381,7756,2369,1501,1907
20:14:24.849,61,54,0,6681,25082,5203,8895,4340,4081,1365,1901
20:14:25.873,56,60,0,26183,36164,10039,7546,4508,9122,2151,2921
20:14:26.866,63,53,0,3231,3489,1192,6650,7424,3756,1008,712
20:14:27.855,70,67,0,3215,5471,7350,7307,2137,6380,2311,908
20:14:28.846,70,67,0,1820,30044,2898,12087,9743,4055,3508,1365
20:14:30.860,77,75,0,2202,8087,8987,6850,2281,8455,3399,1966
20:14:31.858,74,67,0,4936,9617,8021,2036,2911,4525,3336,1092
20:14:33.843,90,78,0,2712,4653,4691,10480,9230,4806,1108,1639
20:14:34.865,91,78,0,9168,2468,4921,3853,3614,4876,2764,967
