Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
19:55:27.874,51,69,0,102508,25531,8139,5639,4460,1335,1803,901
19:55:28.866,56,70,0,2133,7776,4193,6515,3985,8155,3326,972
19:55:29.857,56,75,0,68510,50952,18995,3925,6466,6935,4683,1313
19:55:30.915,61,54,0,79336,29781,2021,5430,7467,17701,5964,2000
19:55:31.879,66,63,0,110799,78680,75318,11981,7481,11246,19681,7787
19:55:32.873,61,66,0,26967,11295,7826,7940,5666,5838,6309,4518
19:55:33.867,64,66,0,177639,36657,16958,8020,24918,9440,6286,4321
19:55:34.864,54,80,0,277196,101786,50012,28920,10685,18661,6025,10268
19:55:35.860,60,78,0,19513,16593,22738,5986,12426,5535,7596,1018
19:55:36.850,57,66,0,221623,103627,21112,9020,5277,24209,6979,5214
19:55:38.879,61,66,0,7815,23849,10685,24933,27531,16011,3077,2424
19:55:39.873,69,56,0,3846,10424,10471,13535,44812,11666,12158,2181
19:55:40.867,67,63,0,248383,69916,25274,6064,12157,14971,4613,4456
19:55:41.860,63,67,0,351936,188153,98771,46139,18480,15273,9631,5123
19:55:44.871,40,69,1,26237,26635,1441,12746,4674,11321,3601,1588
19:55:45.866,44,63,1,296015,45320,7592,11119,4128,6144,7945,6403
19:55:46.856,41,43,1,134411,73591,2215,1748,5560,2867,2055,2095
19:55:47.876,44,21,2,101497,89826,2229,6005,16575,4686,3664,14023
19:55:48.871,44,34,2,388343,18041,18618,28609,8186,19915,10931,10550
19:55:49.858,50,38,2,619162,51182,13875,29352,7371,16371,14147,6535
19:55:51.870,67,94,2,38649,20482,21328,23685,46928,12616,3080,4118
19:55:53.860,61,93,2,3650,12268,8763,2857,5457,3709,1566,1478
19:55:54.856,67,88,2,7153,8141,16350,5167,6325,9054,1766,7540
19:55:55.852,61,83,2,4962,20481,3947,6570,5589,2573,1296,1401
