Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
20:18:04.849,50,47,0,5132,21502,18289,3160,20709,3353,1788,1757
20:18:05.845,61,50,0,24134,20720,5730,8738,4270,6459,3226,1679
20:18:06.837,50,56,0,59092,53400,14066,14031,9385,4629,3998,3944
20:18:07.837,43,60,0,179,8863,6863,3381,7815,1480,1744,1103
20:18:08.860,53,57,0,157115,18824,5516,8450,10655,9147,5707,1669
20:18:09.858,41,60,0,59009,36782,14008,11888,7454,3119,2494,1833
20:18:10.846,53,61,0,4259,9911,6800,3551,6547,4605,2655,1347
20:18:11.846,64,61,0,4244,7129,3141,7573,7392,5432,4639,1036
20:18:13.836,63,63,1,54300,64741,35018,16358,9904,18575,7176,8011
20:18:14.840,61,56,1,14113,18126,9401,4184,25705,5940,3718,857
20:18:15.842,57,48,1,101062,22271,3532,5112,9796,7254,3012,8834
20:18:16.840,57,50,1,91662,13487,8589,539,2454,1208,1540,683
20:18:17.838,50,48,1,134001,32788,8099,9218,6549,3233,3065,2536
20:18:18.865,57,47,1,28536,14883,2078,5576,5181,11029,3214,1084
20:18:19.858,47,67,1,817723,9979,14039,6811,2253,2075,10405,2077
20:18:20.854,61,61,1,4401,10888,2681,4208,9138,5327,1315,1552
20:18:21.851,70,70,1,16482,12782,13645,7257,2388,6298,1982,1032
20:18:23.842,70,83,1,1988,8581,7522,28247,3478,4893,2900,2682
20:18:24.859,64,83,1,3101,18495,2187,6480,9013,4140,2033,2132
20:18:25.853,63,74,1,3274,23522,7384,4980,4503,4737,3408,1695
20:18:26.854,64,70,1,5694,6049,8721,6018,17132,6275,1516,1856
20:18:27.850,74,48,1,22887,12891,2682,2828,7197,4876,3371,2518
20:18:28.849,75,56,1,7124,16770,3762,12053,5744,7158,2408,1927
20:18:29.848,77,60,1,3477,14524,7387,5824,3047,5557,5566,2713
20:18:30.851,66,44,1,170465,75521,8139,3456,6802,8359,988,2351
20:18:31.848,70,60,1,721,1520,4012,6359,5628,5786,2430,992
