Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
20:19:16.837,54,74,0,93443,36666,17563,6933,3022,9382,2708,2803
20:19:17.861,64,67,0,117649,20922,17911,8417,5642,18141,4959,4205
20:19:18.856,66,66,0,74573,19879,4903,12202,7163,4556,5159,1199
20:19:19.850,69,75,0,72226,7957,13318,5950,7614,7388,8057,3598
20:19:21.025,70,81,0,7311,22057,21996,10862,4028,11764,2724,818
20:19:21.840,69,78,0,3833,15482,9223,6040,10773,9207,1589,939
20:19:23.863,60,70,0,26878,17962,6330,12870,9951,5667,5292,1351
20:19:24.856,57,70,0,7640,8427,7939,5934,1704,3671,2856,1865
20:19:25.853,57,70,0,1011322,4113,17890,27362,12483,7872,4079,1773
20:19:26.851,38,83,0,2060013,198240,192611,72233,29365,12840,17251,11034
20:19:27.847,30,66,0,778628,457112,34936,16092,26354,19609,11075,16950
20:19:28.840,34,50,0,1363207,490499,39427,26906,55300,100635,46557,36846
20:19:30.855,23,29,3,2322931,69157,9290,29767,11888,7755,5396,2966
20:19:31.847,23,29,3,20500,1692,1060,671,595,860,200,40
20:19:33.865,29,41,3,1208837,151388,76701,65518,42461,10745,9037,5073
20:19:34.864,20,50,3,157691,92154,11295,23248,38362,7404,6278,4074
20:19:35.863,20,50,4,1821031,1204553,889364,644036,215437,192885,315666,153716
20:19:36.856,20,50,4,866206,15200,8330,23035,6302,3583,4252,1048
20:19:37.853,20,50,4,330412,23243,22393,19761,9833,25040,3321,1971
20:19:38.848,20,50,4,1316885,36781,14832,6999,8531,12280,11653,4506
20:19:39.845,27,66,4,2398057,99469,98125,40079,45517,39528,22566,20733
20:19:40.846,27,66,4,2284345,13133,4946,16772,7673,7784,664,742
20:19:41.841,34,69,4,136300,40866,9584,24631,5742,7645,3434,2552
20:19:43.861,53,63,4,199654,21309,6102,6590,9240,8771,2151,8601
