Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
20:10:27.851,64,50,0,21675,22390,7021,3439,4733,7456,1837,1228
20:10:29.865,70,54,0,36840,38811,23790,22168,15301,9532,2096,1850
20:10:30.857,66,57,0,13757,12189,2919,2360,4762,3734,2009,1023
20:10:31.855,57,48,0,47483,43390,2008,4131,7503,3859,1598,2157
20:10:33.853,54,35,0,9661,38844,3680,14272,11086,5540,5173,2470
20:10:34.869,35,24,0,275362,627856,11800,50430,30613,14625,9713,2680
20:10:35.863,34,35,0,324086,91246,13286,19622,21014,7904,10947,10641
20:10:36.852,38,48,0,119971,11105,14792,25756,18512,10080,8371,2979
20:10:37.870,48,48,0,6405,13354,6998,4743,10005,7653,2668,3483
20:10:38.841,63,67,0,9359,12290,10241,7210,10038,3594,2478,1032
20:10:39.864,66,69,0,374734,106602,43152,6417,10924,16189,5823,5720
20:10:40.853,64,66,0,60290,37165,17440,21204,6186,10346,2314,3808
20:10:41.868,51,63,0,280035,122520,18265,19356,13418,9352,4058,4750
20:10:43.843,66,54,0,7724,8351,408,4177,4619,6006,2375,3251
20:10:44.865,74,34,0,59569,20961,751,1829,8151,7221,2909,3184
20:10:45.871,74,44,0,4242,12089,1676,13258,4462,1852,1406,1715
20:10:46.846,70,30,0,481799,64793,3312,8271,21408,8609,4569,7161
20:10:47.846,60,40,0,527470,10004,4486,4348,5021,2533,475,759
20:10:48.843,60,60,0,4966,5933,6061,4330,6263,5376,2002,2269
20:10:49.869,78,54,0,14365,7122,5588,7758,8755,10990,1042,1030
20:10:50.844,80,61,0,370516,28158,6861,3887,4484,5671,5390,3231
20:10:51.845,75,66,0,55890,34325,28478,5449,5746,5514,3817,2553
20:10:53.842,48,44,0,4964,19017,2174,7118,7711,3868,1534,1219
20:10:54.849,43,61,0,4758,5946,21432,6453,7105,2904,1086,1081
