Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
19:59:47.854,74,69,0,9104,11657,7761,4646,4833,6412,1692,1672
19:59:48.848,67,54,0,652504,186293,10016,9706,17853,10227,3760,3722
19:59:49.876,60,35,0,98181,44628,5065,3358,9415,3548,2694,779
19:59:50.868,51,37,0,554750,91839,20951,5883,8080,11080,12018,3005
19:59:51.857,56,40,0,18725,3354,6336,1953,1653,6395,4376,791
19:59:53.878,64,66,0,4557,12074,1490,11319,5890,3626,5700,1969
19:59:54.875,67,77,0,12080,15120,10938,3504,5745,4835,2079,1416
19:59:55.870,43,60,0,291982,421479,31985,45944,5947,10845,15447,11366
19:59:56.866,41,57,0,1536904,130452,17887,17420,7809,10587,10946,22649
19:59:57.864,24,43,2,442331,121968,12541,6151,8086,2741,2056,1949
19:59:58.861,20,30,2,86233,77743,8469,7930,3875,7885,8310,3874
19:59:59.855,40,38,2,5318,14402,8044,7261,25688,7770,3259,10304
20:00:00.849,50,38,2,85802,64435,13461,7057,15341,18622,6038,4886
20:00:01.873,63,48,2,38362,118373,42592,14196,9716,17361,7048,3716
20:00:03.864,75,66,2,2375,9962,9555,8574,11447,8232,2841,1717
20:00:04.854,74,70,2,49056,26314,8456,4639,9663,8039,2811,1880
20:00:05.876,69,60,2,137183,86316,6949,6185,8926,5974,9542,8699
20:00:06.870,51,51,2,134504,89570,18446,16822,5081,4524,4073,7843
20:00:07.866,43,47,2,105486,75216,32838,6983,29205,13083,5502,14288
20:00:08.860,51,43,2,8731,7273,4973,3682,16992,10212,9698,4616
20:00:09.859,64,67,2,3419,2210,10217,5386,4533,6522,5007,9766
20:00:10.853,63,69,2,308921,171914,65609,6438,14516,7214,13932,11363
20:00:12.874,53,83,2,2968,8283,12434,5242,5425,3028,2130,1296
20:00:13.873,47,81,2,8958,13246,29408,2240,10477,6553,2406,893
