Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
20:16:39.846,57,83,0,15156,29128,11795,15618,10268,8360,2144,2058
20:16:41.865,63,83,0,5021,5304,7951,6116,2564,6374,1871,1042
20:16:43.865,64,81,0,3687,10625,21427,23760,3375,9318,8412,5582
20:16:44.853,61,75,0,14484,35465,12350,3887,15595,3819,5204,2256
20:16:45.852,56,64,0,9535,12422,4647,3860,5988,4598,4095,1706
20:16:46.847,60,67,0,45466,26553,12771,10125,10219,8846,5730,2555
20:16:47.849,48,51,0,721025,251393,53606,60719,41306,15063,12729,4170
20:16:48.849,43,48,0,98690,30808,3613,5398,5277,1684,1682,1661
20:16:49.841,43,56,0,14735,6644,17028,2266,9226,5176,4474,1447
20:16:50.864,43,57,0,11287,10544,6337,9481,11962,4751,3651,2074
20:16:51.859,66,44,0,2228,16891,2184,1336,8645,10388,3225,2231
20:16:53.857,70,38,0,91560,7669,1897,664,2388,1493,1029,680
20:16:54.850,74,44,0,2775,5566,9105,9341,4845,5022,1249,887
20:16:55.843,66,64,0,2265,10340,11032,1832,3496,5674,1136,2108
20:16:56.839,66,74,0,6365,15101,17041,7006,3017,4299,2834,958
20:16:57.842,53,66,0,165196,143573,6947,12455,21523,5154,3522,3100
20:16:58.845,38,41,0,353733,197704,13083,10887,23152,9648,5084,3512
20:16:59.845,37,41,0,6354,12408,9238,6070,6552,5336,3037,1635
20:17:00.848,40,47,0,1589,6434,16103,15921,4092,6290,2236,1623
20:17:01.842,57,53,0,171304,3851,566,1165,2092,1373,1470,719
20:17:02.861,80,69,0,2018,8390,4510,13395,14906,14039,3800,1639
20:17:03.860,83,61,0,848437,26980,10190,2889,6800,10677,5296,2426
20:17:04.851,88,44,0,5472,13515,7248,2208,8578,6339,2066,1923
20:17:05.843,94,51,0,6322,4877,7924,1226,7495,7013,1942,1945
20:17:06.864,81,47,0,2610,8354,5088,2740,20812,2057,2978,1113
