Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
20:06:33.846,20,96,0,1569193,16709,18224,35925,6987,4294,3518,1783
20:06:35.866,8,56,0,203945,40678,2574,1172,1028,1105,1464,478
20:06:36.862,7,57,0,1100425,229650,30635,29039,13596,11246,3189,3079
20:06:37.868,1,30,0,1829198,289055,12531,31290,18292,12634,8499,2492
20:06:38.859,11,37,0,2115247,84461,21003,41081,25397,4593,5314,3678
20:06:39.850,14,44,0,189438,70905,13021,4935,7381,3776,1320,2790
20:06:40.872,21,44,0,1769853,140499,33114,9161,11304,13399,3907,3435
20:06:41.870,24,64,0,67417,38495,43588,11001,17907,4901,3157,1689
20:06:43.857,40,75,1,2175028,466577,91844,163253,96492,99513,16639,13115
20:06:44.849,51,75,3,840082,426616,119211,62474,124594,178575,16701,14898
20:06:45.872,51,66,4,671999,594032,206845,47415,60767,39478,17216,6527
20:06:46.866,51,54,5,336671,209122,45527,40923,43815,22551,6845,6471
20:06:47.857,54,51,5,111240,10212,2731,1829,3375,2785,1785,2679
20:06:48.850,53,57,5,1598,11638,5828,5709,8609,5328,1974,2144
20:06:49.868,61,57,5,234071,38705,10171,11582,7610,7711,2864,2685
20:06:50.865,67,66,5,35936,7996,14238,9861,20364,4728,2660,3697
20:06:51.859,70,83,5,5082,2263,4020,6789,866,3773,1225,1277
20:06:53.852,64,64,6,385779,27638,2330,3401,3998,6745,5265,2503
20:06:54.871,60,51,7,197921,23898,3044,1178,2578,2502,683,561
20:06:55.865,48,41,7,201265,20521,9571,5488,2232,2456,1849,3826
20:06:56.859,48,48,7,229756,61220,4121,28582,8709,7034,7131,2728
20:06:57.887,47,57,7,145951,74867,18053,23220,10713,17296,3431,3357
20:06:58.847,51,69,7,8400,17314,6443,7259,8012,5491,2119,1934
20:06:59.866,63,60,7,12146,11727,3556,2926,8132,5273,1654,1096
20:07:00.861,67,70,7,2531,8951,14908,5875,5793,3542,1173,819
