Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
20:11:45.891,54,84,0,2719,4390,11140,4286,3944,5096,6160,4060
20:11:46.850,57,81,0,109137,47971,25545,17443,14411,10129,4846,3628
20:11:47.845,64,75,0,32965,43614,10953,4685,7743,7750,8260,2135
20:11:48.842,64,78,0,7953,6938,9647,10348,2978,6100,2693,1770
20:11:49.989,64,78,0,12076,5439,8816,6834,2350,6019,12531,4866
20:11:50.861,64,78,0,86244,8539,6827,1248,3488,1740,2650,2251
20:11:51.862,67,90,0,51557,23562,25678,19723,14149,16261,6746,4802
20:11:53.852,60,61,0,16532,17705,4739,27304,7954,4873,3320,3338
20:11:56.870,43,48,2,433848,111678,2587,18403,58912,14996,13464,9906
20:11:57.867,47,53,2,7233,6369,5212,26194,8235,5183,8814,7641
20:11:58.867,60,48,2,25293,21983,1143,7786,6847,6745,7330,5823
20:11:59.851,57,57,2,36901,47827,24273,15513,10239,10813,2821,1819
20:12:00.847,60,67,2,864599,38019,4410,10102,3768,6630,5654,6302
20:12:01.866,69,60,2,6467,4017,8,13516,7489,7608,3248,1278
20:12:03.871,70,75,2,9044,9260,5543,6326,2811,3841,2395,1565
20:12:04.858,75,69,3,262977,244463,15250,68422,147537,63106,59381,19280
20:12:05.854,77,61,5,346413,11057,5022,3936,7769,9678,2459,1983
20:12:06.851,75,53,5,718656,151897,50397,42398,72680,34743,29674,8640
20:12:07.844,70,48,5,406951,171188,52614,43606,22679,31866,31172,21762
20:12:08.863,67,53,5,489874,178908,68669,23138,25398,43927,18414,6155
20:12:09.860,57,53,5,53820,52277,15900,10551,16520,13178,19418,24942
20:12:10.857,63,53,5,5057,21553,15311,6890,24854,9254,5118,9036
20:12:11.847,63,61,5,122002,45745,23518,39463,8966,13423,5364,5860
