Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
20:15:26.849,53,63,0,616,12637,2296,19897,4854,5654,2219,721
20:15:27.844,56,77,0,13910,5581,12655,1109,3812,5680,2544,1386
20:15:28.841,60,90,0,3891,4784,11969,18132,6182,3692,968,1691
20:15:29.838,77,87,0,4809,5645,499,9288,4175,10823,3872,1957
20:15:31.113,75,91,0,8503,15734,22756,13623,5147,6183,5536,1639
20:15:31.858,80,70,0,58846,19332,173,4655,5079,13961,12354,6639
20:15:33.845,77,47,0,459735,27056,8235,3999,3196,12328,3688,1410
20:15:34.865,80,40,0,3000,10086,3321,11834,8755,4349,2855,1699
20:15:35.854,60,60,1,18042,77974,48347,44546,16551,10295,3940,6380
20:15:36.845,61,63,1,7009,25854,13034,4338,6495,6235,6576,2186
20:15:37.867,60,69,1,4311,10987,4963,5183,2136,6393,5103,1587
20:15:38.857,54,54,1,127071,44783,3339,5706,10560,5481,7368,1475
20:15:39.855,60,38,1,258743,89583,1066,15474,9505,11935,3425,2339
20:15:40.855,70,23,1,214485,44620,2945,4700,1907,28165,5086,3732
20:15:41.854,64,26,1,3979,16020,9677,7175,3634,4827,3207,1472
20:15:43.870,84,43,1,4920,10253,5506,3523,6182,3397,2209,1726
20:15:44.858,75,69,1,10919,7795,18664,6029,6171,5425,3861,1363
20:15:45.850,67,70,1,469163,61009,34260,58293,18586,12052,6815,3853
20:15:46.846,44,77,1,196159,129822,41374,27270,40993,7562,11093,5354
20:15:47.842,30,74,1,108174,23504,7669,2308,3890,1382,1627,945
20:15:48.868,23,70,1,1067313,43474,58845,32119,22503,8653,8999,5411
20:15:49.862,30,66,1,14230,32654,20056,10571,6833,13466,2462,1597
20:15:50.862,51,75,1,5872,7079,6343,10248,3400,7305,1277,1454
20:15:51.860,57,75,1,85652,51472,8946,9527,2460,6483,3547,2462
20:15:53.856,70,77,1,5247,19267,4287,12176,7294,5669,1222,2482
