Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
20:20:28.861,77,56,0,6046,7845,6240,2129,5395,5571,2125,836
20:20:29.849,78,60,0,2776,26006,4605,12218,3149,6731,1955,1710
20:20:30.840,74,69,0,596217,20377,11935,12468,9795,11611,8015,9316
20:20:31.863,74,64,0,27485,18251,11938,4237,13661,7410,2673,3279
20:20:33.858,69,60,0,934,15658,1571,3492,8929,4735,2362,3692
20:20:34.857,63,63,0,147896,5500,3310,3550,1396,1578,732,1407
20:20:35.846,61,67,0,5034,10153,7490,11058,14708,5213,2988,7085
20:20:36.836,69,63,0,9213,5302,3886,5873,5091,6263,2743,1652
20:20:37.861,66,69,0,184456,55268,20049,4580,10438,11805,7332,3284
20:20:38.858,60,60,0,754191,208740,23987,48111,33092,14531,20064,16860
20:20:39.858,50,44,0,444580,95109,12675,4127,4897,6916,3258,2311
20:20:40.860,38,38,0,234965,122655,10729,37957,17932,19958,10321,20520
20:20:41.858,40,43,0,272177,38957,19330,14500,11795,12639,10890,18633
20:20:43.854,53,40,0,42560,28416,3588,15836,26118,10176,7321,3363
20:20:44.850,53,50,0,99503,17362,13508,10393,5641,5675,3941,5987
20:20:45.842,60,34,0,28670,26287,1648,3655,15246,10962,4142,3223
20:20:48.863,43,17,2,622417,28936,14435,4578,5014,4120,6296,2916
20:20:49.851,35,27,2,1999577,232066,28676,52525,26110,34977,12462,21701
20:20:50.877,37,40,3,1405430,169629,70075,166378,124447,57495,33345,30873
20:20:51.842,47,66,4,565615,19384,14390,2747,3254,3280,3951,4864
20:20:54.863,47,56,4,7221,6228,6363,7085,8734,4835,2931,2957
20:20:55.854,48,51,4,3480,36734,11986,5100,3105,5685,5301,3109
