Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
20:09:15.846,67,74,0,605532,40927,7358,11122,2986,3498,4866,2384
20:09:17.869,41,53,0,267002,287776,24275,13535,15297,8352,5426,2006
20:09:18.863,35,54,0,34912,40665,9763,27840,8997,8496,7040,5373
20:09:20.127,44,57,0,168452,31342,17884,10457,5870,10289,4032,3541
20:09:20.865,44,53,0,851976,50549,13896,6993,4145,7260,8757,3065
20:09:23.846,91,48,0,5698,18911,9536,7124,8731,11032,7975,4242
20:09:24.866,84,48,0,408675,327921,68070,39509,10606,17890,7528,7224
20:09:25.870,60,60,2,1352546,105234,3923,82473,28307,5849,4735,4343
20:09:26.864,37,44,3,884819,151491,2035,12746,21199,8794,1395,5640
20:09:27.857,24,47,4,2188805,157187,86937,23477,41927,23005,10303,11975
20:09:28.859,27,50,4,1133816,29757,9455,8147,2821,3040,2408,1736
20:09:29.853,37,48,5,416675,77219,23054,34930,31817,11076,17537,11240
20:09:30.851,40,61,6,1176722,78529,14322,15295,5522,9643,4595,2392
20:09:31.871,43,60,6,123510,23202,11793,1771,5380,3800,1733,1692
20:09:33.863,44,53,6,64436,68463,14222,7330,19269,16611,4944,4558
20:09:34.851,40,61,6,866441,204443,104462,99785,25992,20549,11663,5746
20:09:35.871,41,61,7,364249,59889,29693,17467,27763,12873,4723,3095
20:09:36.859,41,61,8,2631659,400480,26902,84413,108295,124733,19909,4762
20:09:37.882,44,63,8,650799,106113,56845,25617,12970,8694,3679,7312
20:09:38.851,35,63,8,212594,23675,2312,3393,1593,1696,3601,2376
20:09:39.848,38,50,10,2306234,606736,121078,22415,84588,64457,12221,35868
20:09:40.868,47,47,10,628866,130443,23720,63478,58827,63560,8966,11034
20:09:41.863,44,27,11,1211036,169299,3638,12673,7844,6909,1807,2965
