Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
20:22:41.859,29,64,0,12044,22486,5052,8281,1691,1642,3232,2221
20:22:43.857,30,67,0,103348,27915,10692,3597,3013,2266,1457,434
20:22:44.849,27,69,0,13228,14429,15366,13149,6350,6174,4470,1865
20:22:45.846,41,67,0,33219,15952,4485,7918,5459,4755,7590,2312
20:22:46.850,40,87,0,11028,6021,14505,18986,2114,5217,1729,1021
20:22:47.848,51,90,0,24790,14294,9695,4220,3667,4712,2618,2583
20:22:48.848,61,75,0,763,10867,1185,8461,4109,8506,2501,1343
20:22:49.845,57,63,0,1091550,276992,56869,26528,58920,44918,27499,11404
20:22:50.867,50,35,0,1204449,31851,8049,3755,7523,2392,764,745
20:22:51.902,48,38,0,2217855,65205,31657,33913,7343,20031,10769,8718
20:22:53.858,41,24,0,159884,24271,1357,13831,17546,12496,6031,10236
20:22:54.847,54,35,0,58534,25657,24109,2485,7620,10748,7015,10078
20:22:55.837,53,16,0,32547,27292,2418,5051,11832,4549,3470,2561
20:22:56.859,53,43,0,5455,12028,9038,11147,4843,3175,1983,1552
20:22:57.848,53,57,0,14907,4840,9708,7451,8585,6216,2472,2845
20:22:58.872,54,51,0,4899,11482,2779,4536,7019,5378,2226,2650
20:22:59.842,51,51,0,1310379,654311,97531,58464,69905,72554,22199,28063
20:23:00.840,37,29,0,689923,44965,5443,2366,2570,1038,415,312
20:23:02.859,11,10,0,435306,90830,11074,5396,9282,4526,6903,5878
20:23:03.857,30,23,0,9376,5429,8923,7998,14413,14633,13483,11027
20:23:04.855,38,27,0,619553,311395,94389,11885,11879,16685,23459,25157
20:23:05.849,24,16,0,870538,145077,10672,14440,37566,6524,6185,3849
20:23:06.851,38,13,0,19018,34362,3198,4058,12552,6857,2671,4531
20:23:07.842,24,17,0,9064,14634,3908,13362,2443,5963,2276,1405
20:23:08.861,40,23,0,7630,29816,5852,11760,4142,8737,4188,2186
