Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
20:04:09.864,61,61,1,100238,44882,14354,8933,4257,6256,5980,5030
20:04:10.860,56,74,1,66098,86720,29788,31854,9525,5747,2017,1786
20:04:11.863,50,78,1,37767,16475,16998,9508,15897,7125,4844,2510
20:04:13.852,64,75,1,10198,12974,5272,2901,9856,9060,3938,3877
20:04:14.876,78,74,1,7196,24677,19520,6488,13203,8436,7310,3215
20:04:15.868,81,69,1,16626,11610,3996,5466,6493,5241,3745,1775
20:04:16.865,67,57,1,53629,64550,14672,5123,7452,4281,2539,3094
20:04:17.888,69,64,1,26366,2175,14338,9080,26361,14054,4687,3262
20:04:18.859,70,78,1,29900,2155,17748,5837,4185,5353,3126,2504
20:04:19.849,75,88,1,10644,5047,6285,13159,3438,8431,2489,3048
20:04:20.872,83,77,1,38073,83924,2632,4908,5798,11775,6504,5990
20:04:21.862,67,81,1,28939,40925,30710,28113,12925,9438,5685,4088
20:04:23.872,44,57,1,68087,32997,2273,17741,14801,5020,4081,1347
20:04:24.866,56,78,1,8978,9275,3418,10611,6133,11388,2128,1461
20:04:25.861,67,67,1,8380,6900,2455,2133,2219,5100,1330,2539
20:04:26.855,78,57,1,87453,33945,2001,11621,16729,6765,8959,2254
20:04:27.858,74,51,1,198955,248987,34790,20317,13798,17995,4031,3902
20:04:28.850,60,57,2,593303,32937,48462,17487,30384,8561,6272,4452
20:04:30.868,43,75,2,810907,27498,29707,9376,22577,11742,8509,3577
20:04:31.867,57,77,2,41509,15937,5114,2475,11164,7870,4361,6486
20:04:32.871,53,47,2,426830,241042,907,13961,7165,11535,3665,3184
20:04:33.873,69,35,2,5253,19675,1085,6183,8309,11585,2211,2390
20:04:34.864,74,34,2,2053,13198,4786,10356,6333,7606,2084,729
20:04:35.865,67,40,2,4196,13120,2197,6290,5316,4037,1649,2209
20:04:36.862,78,77,2,5069,3072,1992,34694,5062,5283,2976,957
