Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
20:02:47.860,53,41,0,16875,12531,5755,8436,14324,7429,3279,1071
20:02:48.849,61,61,0,319952,85278,38874,25314,24327,6946,3473,4458
20:02:49.872,51,67,0,89796,21854,6330,7980,1194,1580,1372,621
20:02:50.873,53,60,0,385415,25001,3557,3641,9133,6220,1916,992
20:02:51.871,44,63,0,56283,10621,4173,2459,876,1545,1195,1245
20:02:53.868,67,75,0,11454,4054,7747,9033,2758,3622,2408,1312
20:02:54.859,78,77,0,6403,7468,3667,1148,4339,8411,2332,2395
20:02:55.853,75,69,0,1135474,174831,7656,45794,34186,12690,6603,8657
20:02:56.846,67,64,0,229262,77057,3889,32955,6894,10304,6597,3663
20:02:57.866,57,54,0,69813,10828,5179,5270,3703,1110,639,1314
20:02:58.861,53,69,0,22826,7699,2342,20375,3574,12568,3402,1057
20:02:59.858,56,64,0,56031,90374,4590,10333,1998,8115,7570,2878
20:03:00.857,44,41,0,619518,477921,10926,5640,14714,11039,4938,4048
20:03:01.849,44,29,0,488328,97353,2696,21090,5501,6321,4064,1916
20:03:02.875,27,24,0,131045,83853,37548,18900,12649,7313,5453,3857
20:03:03.869,29,27,0,520718,66430,12213,4864,20119,7589,4443,6000
20:03:04.866,43,43,0,1707,31169,1047,4782,4920,4165,1706,1082
20:03:05.860,50,56,0,46841,26644,16804,15509,10337,7700,1224,3290
20:03:06.855,51,51,0,45006,10950,4000,1628,4137,1095,1098,685
20:03:07.849,54,67,0,17968,25313,33750,10732,2365,9739,1729,1766
20:03:09.865,54,83,0,5102,9327,4878,7331,5253,5636,1918,4340
20:03:10.855,61,78,0,40830,48626,7478,6086,14586,9586,7969,3293
20:03:13.886,66,81,0,5098,9066,13706,7379,6653,6119,2397,2369
20:03:14.879,69,87,0,12911,11222,3943,3377,5921,4029,2659,1492
