Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
19:57:08.872,66,83,0,18009,16867,3981,4215,2270,9180,2544,1520
19:57:09.870,69,91,0,28209,21600,15596,18036,3572,4822,7746,4078
19:57:10.868,70,84,0,34963,21633,7251,5928,4539,6585,4824,5727
19:57:11.880,57,64,0,1009952,191030,19358,24421,20662,13691,5435,6893
19:57:13.855,63,53,0,6648,16983,3989,2827,7984,6982,5169,6057
19:57:14.879,54,51,0,285693,67644,17960,8633,10188,5409,8549,4938
19:57:15.876,61,54,0,8834,36913,8361,5615,7633,6896,3514,2542
19:57:16.875,64,47,0,73911,19691,7944,1530,6633,10905,6197,7908
19:57:17.871,56,41,0,136130,107500,11490,10345,10701,12895,7190,5478
19:57:18.869,56,41,0,2035500,28018,16323,20174,12599,9383,3487,3623
19:57:19.864,64,41,0,3345371,43165,6275,12973,13145,10596,11848,2452
19:57:20.860,64,41,0,222181,25070,6310,5390,11925,4651,3520,3675
19:57:21.880,51,47,0,770760,116261,24996,35614,29962,10488,7207,11319
19:57:23.865,41,56,0,253652,85590,27610,11877,14710,3546,4625,2654
19:57:24.853,30,53,0,1096016,90948,10335,8334,8282,3622,7781,5204
19:57:25.874,37,40,0,457775,130990,15664,4149,24484,21852,6811,9007
19:57:26.868,37,40,0,373334,47693,5208,14443,4371,9720,7637,2574
19:57:27.863,47,34,0,37152,22783,3388,1973,4285,3035,2062,1073
19:57:28.864,56,54,0,1083142,2983,13478,3380,6355,2157,2894,1688
19:57:29.861,50,57,0,596922,37820,6713,1852,10876,3021,2385,852
19:57:30.866,47,64,0,137987,70245,35106,10021,15822,9560,10685,2438
19:57:31.860,51,75,1,2200538,93842,67977,10277,26510,44862,20293,5563
19:57:33.874,41,48,1,171054,75708,4486,7149,13313,5416,3412,4320
19:57:34.864,50,38,1,36002,13119,1392,3537,9056,4092,3157,3281
19:57:35.855,35,27,1,150138,103128,1974,16680,11918,4500,2105,2261
