Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
20:12:58.860,61,57,0,250342,69330,12935,21375,20138,11544,5799,3554
20:12:59.852,50,50,0,67620,39814,4574,7628,5221,2916,1232,1122
20:13:00.842,53,50,0,7382,11520,11376,5976,4645,8133,3642,1445
20:13:01.863,50,60,0,21600,38950,17248,5754,2686,5652,2748,5111
20:13:03.850,54,48,0,12222,15723,8357,588,9162,6696,6973,3911
20:13:05.107,51,47,0,9342,8008,10561,1124,5201,3556,2571,1073
20:13:05.876,66,44,0,77251,3105,2502,2982,5917,4149,2323,2039
20:13:06.869,78,61,0,3068,13157,7297,4058,5964,3983,6754,2703
20:13:07.865,75,56,0,110341,19498,3373,2236,8315,4426,3338,1420
20:13:08.857,78,50,0,160178,49718,13696,16729,15794,17682,5469,7884
20:13:09.857,54,47,0,405588,220462,41414,34659,14697,11396,6875,4672
20:13:10.850,53,37,1,116408,11973,554,1771,1431,1859,336,254
20:13:11.845,51,50,1,6321,14497,3004,18046,9638,5295,5770,2791
20:13:13.861,44,43,1,70596,75163,15379,17594,16718,6356,2898,2382
20:13:14.849,61,48,1,3849,7284,2543,3370,3193,11294,2341,2274
20:13:15.843,66,43,1,5143,17325,9841,2860,4810,8127,1461,1283
20:13:16.869,69,53,1,3139,13667,8747,1277,10428,2093,2224,3552
20:13:17.861,77,56,1,633992,39067,19636,8362,8273,9365,6901,3802
20:13:18.853,56,61,1,681973,50721,11348,19891,12236,7080,5514,3251
20:13:19.847,50,67,1,9978,13038,7152,23958,15010,5541,4988,2202
20:13:20.845,56,77,1,5463,13766,11569,11561,6752,7982,1407,2067
20:13:23.857,69,56,1,67241,6239,5183,4416,1328,3339,867,524
20:13:24.852,74,41,1,1017,14439,4288,2870,12580,6617,1124,1814
20:13:25.853,74,54,1,2220,2110,3886,23381,7401,8679,3433,2894
