Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
20:23:48.838,38,44,0,15629,12098,820,4428,4317,8986,1691,1230
20:23:49.859,48,51,0,10159,16051,11331,2268,16848,6831,2441,855
20:23:50.854,60,43,0,118353,24699,11945,8155,6947,6147,4623,2155
20:23:51.839,64,43,0,69637,11693,2663,829,524,1446,508,557
20:23:54.852,50,64,0,36894,15585,15126,17259,8444,5157,4361,1475
20:23:55.844,63,87,0,7685,4431,21371,21876,5066,16672,3233,2166
20:23:56.836,56,97,0,135473,24893,35226,21224,15801,11355,5531,1656
20:23:57.855,53,70,0,247809,140649,1901,8293,9964,9061,3207,1468
20:23:58.845,53,61,0,200667,8390,1866,3856,3260,1619,1101,506
20:23:59.845,29,44,3,105924,76292,28710,10422,24745,3526,2271,2442
20:24:00.834,23,24,5,854018,178634,33520,6390,47184,18048,7586,5717
20:24:01.861,20,50,7,161070,122741,72954,22079,7837,8444,13607,8268
20:24:03.846,37,48,7,237119,7689,8574,2522,3872,15081,2596,2909
20:24:04.837,44,50,7,4563,23352,3592,11047,6512,2640,4771,2551
20:24:05.861,56,64,7,7924,7822,9390,2470,3618,5518,2466,2770
20:24:06.855,78,69,7,5923,5607,9970,7053,1949,10259,5089,2645
20:24:07.843,54,78,7,1456816,120638,11727,123954,35429,15123,15934,4716
20:24:09.859,54,78,8,608536,76815,46813,10683,27252,36627,7975,8328
20:24:10.853,61,69,8,656061,166962,3722,37512,28837,31453,23629,12704
20:24:11.852,61,69,8,2026062,112054,28044,20353,7532,23866,7383,2818
20:24:13.843,61,69,8,274871,18710,3545,2619,2455,1960,463,286
20:24:14.835,54,61,8,349733,42195,5276,11355,10790,7453,3145,2158
