Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
15:18:38.836,34,37,0,233639,195007,22959,8102,6278,4386,3914,1229
15:18:39.834,40,37,0,550958,50104,35941,9088,2567,4101,4325,574
15:18:40.852,37,48,0,370764,107037,22746,12041,2775,2483,1982,555
15:18:41.848,41,57,0,275282,43761,15597,9087,6409,3786,3670,1307
15:18:43.839,43,47,1,766861,79689,16518,10370,5435,7145,2377,1499
15:18:44.829,44,41,1,1043350,722936,75843,49885,14709,15098,5913,3802
15:18:45.856,34,40,1,2438676,172532,42770,46810,50761,4537,4941,3503
15:18:46.854,30,44,1,74683,37222,4228,4756,1184,576,617,323
15:18:47.851,23,41,1,1837737,601234,130918,13327,7933,17134,18694,4080
15:18:48.846,23,41,2,650602,116497,16001,3214,10547,5027,830,696
15:18:49.842,23,41,2,825908,79709,13468,16111,39721,23266,6485,1700
15:18:50.844,23,41,2,1199483,52646,17735,9697,14654,13568,1244,563
15:18:51.841,23,41,2,903954,22066,6428,28077,19012,10364,1805,395
15:18:53.832,53,51,2,756574,178079,16707,16363,7138,8739,2116,858
15:18:54.852,63,60,3,771169,43708,17201,9655,6073,2305,2613,1823
15:18:55.844,64,64,3,1136673,115999,23356,22779,6221,4118,1364,966
15:18:56.842,41,50,4,309901,154386,23726,11074,5652,2650,1686,819
15:18:57.838,34,56,5,1694007,98070,19188,27241,27587,3047,1887,966
15:18:58.831,34,56,5,1721203,98362,10215,4792,10466,2221,1442,290
15:19:00.829,38,51,6,2751187,237481,42688,93165,182176,62673,5179,6960
15:19:01.832,38,51,6,172555,9967,2832,2659,2550,1577,343,114
15:19:03.854,67,53,6,76824,28146,2858,2091,3417,1931,856,580
15:19:04.848,74,48,6,434550,144297,28581,3803,13127,5905,3038,1057
15:19:05.837,60,37,6,412534,202883,13550,8839,3861,2931,1658,1587
