Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
15:16:53.834,50,24,1,564777,307576,7038,28636,22434,6399,3413,1046
15:16:54.863,60,21,3,337733,89160,911,18428,11260,4614,1544,210
15:16:55.853,53,34,7,1791715,147862,58850,7980,15501,3803,1484,2687
15:16:56.856,50,21,10,1657248,160239,25937,22111,18342,11403,7938,3367
15:16:57.849,57,27,11,190116,39686,3059,5190,5647,1818,585,826
15:16:58.849,51,16,12,785643,375879,11176,12098,7541,8523,4505,1004
15:16:59.846,51,23,15,843693,125412,90463,26203,15110,4300,1314,1205
15:17:00.848,48,27,15,926357,82194,19558,19229,15554,4601,2558,1261
15:17:01.841,44,21,17,1249724,281202,21800,9796,26712,10058,5615,3151
15:17:03.854,44,21,19,1633148,352643,305770,185496,451535,95131,24328,12527
15:17:04.845,44,21,19,1445435,271906,289680,91033,164295,105175,16205,5146
15:17:05.835,44,21,20,1051806,166173,329434,67201,128057,106411,17911,7273
15:17:06.829,66,38,20,1083684,227437,48337,55104,99792,56128,8376,3134
15:17:07.854,77,27,20,1399185,226463,82144,26357,83550,15876,4351,5416
15:17:08.848,94,29,24,1196584,79088,118340,19307,183672,47292,12584,3126
15:17:09.845,100,47,29,615017,40945,13061,11059,5297,5902,2469,980
15:17:10.871,88,44,33,477082,124577,6302,26320,14500,4716,2291,617
15:17:13.841,88,44,39,813369,61496,43048,49160,30407,3512,932,380
15:17:14.833,88,44,41,503613,78384,57359,66663,140467,92497,2184,1565
15:17:15.853,88,44,44,923755,34280,32238,7028,7678,3416,2172,585
15:17:16.843,91,50,47,1606989,338881,119563,88224,39190,38025,6548,3945
15:17:17.834,91,34,52,1139447,131268,8112,18206,42685,51294,7043,2900
15:17:18.855,81,23,57,809005,90476,17016,3231,14185,4966,1898,1678
15:17:19.846,87,23,60,1752050,265060,20143,59952,38630,20503,4222,2074
