Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
15:15:40.841,24,60,2,355142,185224,47298,19403,16377,2906,2099,828
15:15:41.840,26,51,2,558321,128538,1963,29291,13575,5916,6168,1368
15:15:42.857,29,23,2,1290243,101820,8127,6307,6429,9191,3086,1529
15:15:43.939,30,29,2,1155723,135635,92410,1896,7855,3165,1603,1491
15:15:44.840,51,23,2,1684270,116415,14770,15883,13883,9876,2563,1062
15:15:45.835,53,27,2,1657189,91044,26844,6918,15371,5894,3224,1605
15:15:46.860,40,37,2,139330,37598,7318,2585,1099,1054,600,509
15:15:47.856,53,30,2,537603,95498,6546,41319,9370,5288,3443,1383
15:15:48.853,57,48,3,1245083,41688,44342,18317,17688,10371,4636,1156
15:15:49.858,57,48,3,1313222,32901,13320,7646,9311,10231,1886,609
15:15:50.850,57,48,3,1170067,90174,21860,48458,53766,41889,4551,4394
15:15:51.848,57,48,5,809217,102756,6768,36187,33954,18196,4158,1451
15:15:53.857,64,57,5,142456,9133,9391,3414,6057,1825,1410,122
15:15:54.848,66,48,8,2999824,673555,34042,44424,88767,19363,12764,5290
15:15:55.841,54,43,10,980400,349638,67232,36201,18495,5814,3980,1249
15:15:56.844,37,24,11,224455,193057,30246,12896,9948,5465,1792,2727
15:15:57.840,20,1,11,2626010,1076189,7210,83732,33215,25029,14319,2186
15:15:58.834,21,11,11,1711095,229397,72099,10226,16264,8533,9490,1380
15:15:59.857,21,11,12,913438,17117,23587,4474,20542,8931,1215,863
15:16:00.854,21,11,14,742997,65065,21376,9274,11937,6560,2889,366
15:16:01.851,21,11,17,1119004,26064,3877,7257,2865,1840,647,1122
15:16:03.844,51,11,21,990245,157654,11157,21450,14526,9914,2001,1792
15:16:04.838,43,21,21,485609,230387,16002,26658,11277,3299,3579,1267
15:16:05.857,43,17,21,406395,164866,34118,11578,1900,5890,1417,889
15:16:06.850,14,7,21,117171,1023207,22346,86307,5358,4279,5900,2475
15:16:07.856,3,1,21,523141,142727,5838,3405,11067,2134,1049,803
