Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
15:21:50.846,57,34,0,374226,107483,12724,9842,6575,5060,4199,4756
15:21:51.840,47,44,2,562869,609842,79403,65058,11203,16859,17451,8923
15:21:53.839,61,50,2,1963954,98994,47671,19983,3172,17559,16466,6772
15:21:54.841,63,56,3,2119236,178820,32523,34049,12262,9563,9483,4468
15:21:55.836,87,70,3,811719,30567,31942,23060,3217,23477,6563,9681
15:21:57.848,81,78,4,832088,74446,35079,27009,6108,12358,14945,7857
15:21:58.865,93,63,5,764851,102809,3043,7529,12215,14874,11779,5239
15:21:59.826,75,64,7,1895096,681759,530840,513817,151266,69028,51749,24567
15:22:00.847,64,54,8,1789480,700906,22335,148188,91406,35457,44749,18308
15:22:01.837,66,54,9,959077,76299,58967,32753,32980,17846,34749,10269
15:22:03.833,64,56,12,1199582,664678,126393,463777,74896,108592,51425,25087
15:22:04.834,60,51,12,973742,624065,40868,25241,7459,15399,7936,2193
15:22:05.826,56,47,12,463499,118008,40557,19965,7828,12443,8652,2563
15:22:06.828,43,47,12,525197,567035,52925,40701,12921,9079,8953,5294
15:22:07.849,47,47,12,1203206,33017,24861,16458,8250,9650,7606,5682
15:22:08.848,53,70,12,169297,12303,20657,5341,2344,1767,1122,372
15:22:09.846,57,70,13,714113,379243,24125,170704,39730,65918,58804,26023
15:22:10.842,69,81,14,583914,132666,55737,15259,8543,9416,11560,4373
15:22:11.835,64,83,14,2296594,210417,134239,140530,69981,30974,65877,12694
15:22:13.830,48,66,18,1171222,326781,151524,32437,10037,10022,18928,4123
15:22:14.856,47,64,18,188685,44500,6849,10740,2149,2396,1039,836
15:22:15.850,38,54,18,1238881,176774,42329,21236,3716,7363,3751,2700
15:22:16.843,29,61,18,1864926,93131,28442,15886,12712,3168,2368,2207
15:22:17.841,38,60,18,1510465,67088,27878,9356,13806,4363,2982,2911
