Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
15:25:18.841,88,75,0,1086004,138359,12877,25404,22109,27067,16890,6807
15:25:19.834,77,66,0,907327,101368,18140,9381,10851,14380,10507,12857
15:25:20.831,80,61,0,62282,48447,10948,2430,2913,4690,3873,1123
15:25:21.823,67,37,1,2668450,1299205,83548,46106,37614,74460,56931,36198
15:25:22.843,57,37,1,1651122,119994,20280,7781,8407,7684,11072,3958
15:25:23.842,56,37,1,147593,36124,8513,543,1414,4418,2782,1782
15:25:24.833,51,43,1,47566,45966,23951,3316,1155,3278,2590,1971
15:25:25.822,47,53,1,878447,212800,49720,6258,5241,11244,11350,2769
15:25:26.872,44,51,2,2407948,521184,23010,87489,97888,27497,31659,8614
15:25:27.834,47,44,4,1741310,243845,19741,10342,27781,29573,9587,5117
15:25:28.833,54,47,6,314919,160055,48775,115480,56265,32624,40257,9391
15:25:29.827,48,48,8,176695,147733,34191,15644,5134,3961,5242,1277
15:25:30.824,53,53,9,461955,49115,13029,3725,6094,5372,3385,2197
15:25:31.846,50,74,9,1377319,94911,30681,63458,12866,13925,11979,7446
15:25:33.843,50,56,9,979371,340729,35270,9761,8512,10912,5613,3358
15:25:34.838,51,67,10,1357727,23203,32994,9193,10438,6066,7521,2826
15:25:35.834,41,69,11,2278368,391023,302390,109392,18154,22055,21615,4840
15:25:36.829,38,74,11,2017187,651427,165390,191894,197178,50674,22246,28295
15:25:37.828,50,83,13,140007,36408,14185,3526,8287,5756,5747,1353
15:25:38.848,51,67,14,332438,62340,12023,8542,28867,8347,2437,1676
15:25:39.837,51,67,17,1290318,92935,30812,27050,31213,11931,6145,3353
15:25:40.832,75,54,19,18671,14631,1647,4112,4996,5327,1619,505
15:25:41.829,88,47,23,504116,269575,26071,43887,71955,62856,21619,2976
15:25:44.844,75,54,27,670167,120075,60451,12369,3021,8563,11160,3867
15:25:45.844,66,60,27,1178988,75468,9030,17590,4311,8066,5253,2269
