Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
15:20:18.838,40,43,0,39835,5632,1568,1476,776,517,278,378
15:20:19.835,35,40,0,443239,212774,71605,11269,17284,6936,3676,1345
15:20:20.834,35,41,2,132030,338966,24114,29520,8715,9697,4633,2270
15:20:21.832,30,37,2,1432744,202891,10489,10525,21023,3890,6139,2436
15:20:23.851,30,21,3,2200630,132523,40499,69684,25451,8967,2606,2825
15:20:24.841,38,30,3,2337561,54676,8449,21400,13745,5031,8138,2770
15:20:25.837,35,38,4,1540184,423011,63163,24704,13400,6294,4254,2392
15:20:26.831,37,53,4,1775110,174755,2348,47536,15736,7821,5644,1576
15:20:28.854,37,53,6,455657,4647,4135,16146,13268,9883,3487,2454
15:20:29.849,37,53,6,1911672,633217,38661,100709,179019,138842,29073,10579
15:20:30.845,37,53,6,385264,5415,2083,3117,2775,647,318,179
15:20:31.844,37,53,6,2121174,33391,18071,19500,14942,12797,1190,922
15:20:33.838,26,47,6,2473489,232132,134058,52930,13823,13132,7767,6101
15:20:34.835,38,50,8,1721280,105266,33551,5470,21934,6593,3707,4265
15:20:35.831,48,63,10,804573,45477,17527,47289,23875,12028,7934,2319
15:20:36.855,63,57,11,19342,5532,1017,343,3737,783,312,327
15:20:38.854,63,57,11,1930994,31820,16310,17790,6874,11689,1315,868
15:20:39.848,63,57,11,678564,56681,2405,1043,3128,899,331,86
15:20:40.841,87,53,11,1321167,10817,5026,10464,21685,8794,1860,978
15:20:41.836,87,53,11,625363,5272,3039,10906,3533,1856,636,960
15:20:43.832,96,47,11,900577,7641,2770,2460,3792,2001,1053,1731
15:20:44.829,77,48,11,444761,23104,1697,3321,6784,442,1352,773
15:20:45.831,61,63,11,1436393,21422,29104,32699,10275,6064,4619,1214
