Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
15:27:06.828,48,51,1,746951,37855,17845,5383,9937,15150,8165,2428
15:27:07.820,44,61,1,1060417,29683,6507,7251,4832,1578,814,864
15:27:08.848,44,78,1,802752,146215,57936,19354,6214,6721,11445,2330
15:27:09.842,47,63,1,48254,22318,4145,2453,1247,1323,1707,347
15:27:10.838,23,67,2,1118963,464251,157732,126279,33434,22086,29281,14049
15:27:11.830,24,67,2,2990298,240956,24400,83780,32121,13731,17227,6788
15:27:13.822,35,64,3,1133308,699400,121118,7932,31422,37351,18682,6977
15:27:14.845,38,63,6,2689648,119047,44749,18790,6200,7337,5929,1196
15:27:15.841,24,54,8,414124,427022,36508,43780,15872,6206,2055,1563
15:27:17.835,29,66,11,819567,36774,9739,46961,12530,5756,5184,1157
15:27:18.862,24,48,14,856714,290665,16159,3514,6989,7860,2922,2971
15:27:19.827,37,53,15,1016139,201745,10133,62753,11125,9216,1987,2764
15:27:20.826,16,40,15,290820,74751,1686,3571,3225,932,1607,550
15:27:21.851,7,16,15,539935,262195,12526,15051,4979,6849,4986,1520
15:27:22.849,10,34,15,1148259,76975,20059,8966,9896,3986,6462,1718
15:27:23.848,14,44,16,552324,35459,35095,17920,7882,4430,3529,3308
15:27:24.847,35,69,17,973164,52350,33733,39304,13517,10822,7839,2688
15:27:25.835,38,74,18,1063111,222044,31185,9552,49278,9298,3281,1098
15:27:26.826,38,77,20,1835552,709303,276391,81940,31200,45086,14602,5225
15:27:27.826,44,69,23,1955839,116764,65522,19571,8966,19240,4198,2132
15:27:29.849,37,43,26,131172,62315,1276,4403,5265,2529,1331,399
15:27:30.849,41,40,27,1266182,100513,23266,9715,11015,9289,3973,2283
15:27:31.842,30,34,28,716153,129809,34919,20317,40298,6867,5132,1431
15:27:33.839,34,78,30,803313,14521,30313,4451,3397,2076,587,851
