Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
15:32:42.837,40,80,0,1100433,41164,26809,4956,3094,3204,1966,414
15:32:43.831,21,77,1,454208,17183,16552,2003,2437,774,447,660
15:32:44.826,37,90,2,667827,56006,25220,20056,6197,4985,2061,3057
15:32:45.818,26,66,4,1711549,765558,18658,75350,59683,12114,5192,3070
15:32:47.077,20,60,4,1914679,357982,102003,41040,12915,11867,21693,7094
15:32:47.842,21,30,4,1473808,560952,15504,10978,11005,15197,15604,3248
15:32:48.839,16,10,4,988968,609308,30192,7118,9671,17369,5604,3884
15:32:49.832,30,20,4,1111094,215328,64965,30273,14654,19580,12723,1670
15:32:50.824,29,11,4,332256,106077,9860,7275,7060,2445,2768,1589
15:32:51.818,26,26,5,1409880,319401,41924,25896,3019,6616,1680,853
15:32:52.843,38,50,7,1048639,73822,60039,13213,4611,12403,3164,1778
15:32:53.844,26,50,7,1745056,479356,146580,59043,17289,14611,7810,6865
15:32:54.838,23,48,7,744391,233609,22792,5080,8577,3286,3054,1397
15:32:55.839,29,54,8,137498,20008,9292,2073,1705,1191,690,459
15:32:56.835,29,47,10,747491,75454,17647,21639,31125,9866,1258,1324
15:32:57.831,29,37,10,1435685,160722,12803,8339,6760,4145,1285,356
15:32:58.822,29,47,10,1129623,666139,124658,83207,21879,10075,9662,3189
15:32:59.844,29,40,10,149491,64923,5724,10808,4789,2832,1262,787
15:33:00.837,24,47,12,1535864,145265,5349,135937,70360,13644,7337,4073
15:33:01.829,34,54,12,169918,14903,4135,2428,3719,1277,427,614
15:33:02.831,53,56,12,729578,65419,4987,23995,11865,7603,16900,1295
15:33:03.832,51,54,12,371313,164325,21115,13169,8284,6629,5767,591
15:33:04.823,53,35,12,578088,250138,9859,11623,7087,16869,8495,3182
15:33:05.821,54,40,12,129409,24875,16539,975,2385,2764,2269,703
15:33:06.821,44,37,12,698750,347067,79723,6447,19134,12724,7356,3463
15:33:07.817,43,50,12,1164900,39523,35958,7089,3827,2382,2851,430
15:33:08.838,23,51,12,375487,747334,45659,14021,11690,6982,4758,7183
15:33:09.840,10,44,12,690584,430396,101195,19157,15381,9351,9794,1907
