Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
15:29:46.833,13,57,0,865039,131153,20070,21974,25288,5094,1977,1050
15:29:47.827,29,69,0,105482,18051,4016,3901,1942,2305,569,251
15:29:48.824,38,63,0,84571,54270,8168,8566,2407,3341,937,218
15:29:49.821,44,67,0,1105725,50680,56338,4016,7650,9224,1140,1959
15:29:51.986,23,53,0,1256451,164645,15301,5327,8911,3773,3924,1892
15:29:53.829,1,54,0,265483,126796,28967,7027,11560,3619,2927,1492
15:29:54.826,11,74,0,422150,42322,59098,19301,7225,5758,3118,872
15:29:56.842,27,74,7,947726,332621,33934,26306,19238,9017,1173,1043
15:29:57.840,24,80,7,2003476,1148276,520434,170949,118880,32666,4264,2673
15:29:59.823,24,56,14,730803,150723,38272,24517,31995,9777,4329,2169
15:30:00.820,47,64,19,235473,17583,8345,2693,4192,4783,1604,276
15:30:01.847,44,47,19,485709,309624,9498,15756,4205,4714,2624,3560
15:30:03.838,27,44,20,736522,89175,19796,8737,5441,2890,3875,1683
15:30:04.837,11,48,20,330707,10435,1234,6400,1458,743,475,260
15:30:05.833,7,56,20,189690,267385,54985,2778,3183,3029,1762,758
15:30:06.832,11,64,21,294080,86353,58808,4428,25902,6565,1864,1233
15:30:07.828,16,69,22,149715,26363,13787,1396,4295,1713,875,524
15:30:08.829,26,54,23,1253421,55769,3749,4715,8112,6248,2623,581
15:30:09.826,47,61,23,756655,66649,25073,10966,2409,5841,1766,1515
15:30:10.820,35,54,23,992934,133815,27585,9782,3635,2510,3101,863
15:30:11.844,27,61,23,397991,81320,45338,33636,9634,3310,1417,1173
15:30:13.834,1,69,23,547953,149234,49253,4642,1752,2458,6034,1029
