Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
15:34:36.841,77,66,0,1810216,28987,22767,12393,15489,4405,11934,1978
15:34:38.838,74,83,3,24630,21337,36823,2793,2507,3191,1142,431
15:34:40.825,54,67,4,793388,202923,24414,19457,18497,4904,11523,3505
15:34:41.821,43,53,4,931048,234900,9892,16640,27353,14031,5610,10061
15:34:42.841,38,40,6,970131,130216,24679,32934,15835,6041,6994,961
15:34:43.834,38,44,8,962728,150603,105163,34978,15386,17393,6269,4333
15:34:44.836,43,41,10,698231,295773,36147,11411,20415,11146,3966,6163
15:34:45.834,50,57,13,793760,96069,55088,33734,42408,17652,6271,2212
15:34:46.823,67,56,17,55526,12832,1131,5038,3208,3941,662,145
15:34:47.819,70,56,20,499974,34920,29805,5674,7129,6482,4086,944
15:34:48.817,75,63,23,73278,118045,5749,34918,14743,6514,2311,1003
15:34:49.815,74,60,26,1176884,263384,50692,96055,49670,32612,13357,2999
15:34:50.840,57,54,29,741189,36248,2257,5600,7853,2064,709,264
15:34:51.831,51,48,31,816900,181153,25530,45452,14006,10719,4832,3471
15:34:52.819,54,50,32,606716,79491,23707,11282,8598,6419,5509,816
15:34:55.844,40,44,35,1113821,244273,21952,30599,101496,29377,8573,2784
15:34:56.831,41,37,40,1349581,141193,25290,5218,39901,11639,3524,1508
15:34:57.821,56,47,43,666103,47222,18143,18072,29086,5652,1278,1260
15:34:59.834,56,38,49,668147,128834,9233,10487,15789,10733,1371,263
15:35:00.827,53,37,51,1533401,243899,506,44441,19554,13962,3538,1652
15:35:01.820,57,35,54,1455252,100470,20715,24367,11666,15595,2912,1941
15:35:02.842,61,43,56,315038,24363,5613,15750,2156,2207,925,191
15:35:03.844,64,54,57,1192263,39702,8500,15607,6635,7080,3441,876
