Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
15:23:36.852,70,47,0,1121000,195406,17274,59225,16613,16468,20905,5691
15:23:37.849,74,51,1,185723,161066,17038,22886,14283,24863,9122,5036
15:23:38.844,75,60,2,1559968,347495,112026,145778,75357,107173,16955,19695
15:23:39.840,75,41,2,669205,33543,3625,3857,7793,3094,4978,2302
15:23:40.838,83,41,3,2363938,438894,167567,32126,37080,96916,66428,81316
15:23:41.838,74,61,3,1741914,86586,8144,134510,13860,8603,25829,2526
15:23:43.840,51,57,3,696018,88412,13985,35828,6562,11541,14578,5255
15:23:44.837,44,61,3,1230043,129571,58525,17248,10550,15801,16820,15954
15:23:45.827,43,38,7,468148,194225,4378,24563,29497,7491,8860,4643
15:23:47.849,47,34,11,2612982,1366032,179654,438800,75149,40772,43715,46543
15:23:48.841,43,24,12,192017,33556,3013,6103,6519,2812,8492,4022
15:23:49.832,50,34,14,1135278,134191,7052,41669,13719,12961,20677,3037
15:23:50.859,51,41,15,823135,146590,13877,34733,38805,16411,38608,4530
15:23:51.825,61,43,15,1695457,64253,20283,15078,7060,5970,19515,3813
15:23:52.852,54,61,15,124890,120442,164397,28606,16296,9470,9922,3357
15:23:53.849,56,66,15,430307,505745,262980,55550,44082,57451,36555,17504
15:23:54.847,50,66,15,1298713,807838,85275,119453,44175,55637,45238,9850
15:23:55.842,53,61,18,346791,214960,17883,46438,19850,20651,6475,5700
15:23:56.837,54,37,20,1323158,1153168,69414,87971,25970,51474,34997,22318
15:23:57.835,47,23,22,387112,128639,5569,11026,9444,3838,3970,976
15:23:58.826,38,23,24,954929,1399699,82578,271676,73652,43845,29785,18688
15:23:59.847,54,35,24,1610177,26994,20824,31518,7257,29516,8269,7390
15:24:00.839,60,38,25,300729,48186,7007,3839,2355,4168,3792,826
15:24:03.851,69,35,27,400069,21659,5693,10473,1176,4881,3573,423
